-- Logs begin at Sun 2019-12-15 14:07:49 UTC, end at Tue 2019-12-17 03:21:00 UTC. --
Dec 17 02:59:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:59:22.809582 I | mvcc: store.index: compact 44453870
Dec 17 02:59:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 02:59:22.815950 I | mvcc: finished scheduled compaction at 44453870 (took 4.296596ms)
Dec 17 03:03:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:12.016252 I | etcdserver: start to snapshot (applied: 49016037, lastsnap: 49006036)
Dec 17 03:03:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:12.084899 I | etcdserver: saved snapshot at index 49016037
Dec 17 03:03:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:12.095270 I | etcdserver: compacted raft log at 49011037
Dec 17 03:03:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:40.038927 W | etcdserver: request "header:<ID:14919139277705197230 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44455157 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (118.738995ms) to execute
Dec 17 03:03:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:40.053781 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cxkqh\" " with result "range_response_count:1 size:1121" took too long (128.906868ms) to execute
Dec 17 03:03:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:03:41.060189 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002eb2990.snap successfully
Dec 17 03:04:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:04:22.828006 I | mvcc: store.index: compact 44454563
Dec 17 03:04:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:04:22.835570 I | mvcc: finished scheduled compaction at 44454563 (took 5.571472ms)
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.427822 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nn9gk\" " with result "range_response_count:1 size:1118" took too long (152.479769ms) to execute
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.428056 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-748bp\" " with result "range_response_count:1 size:1121" took too long (149.731919ms) to execute
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.428279 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-klhcw\" " with result "range_response_count:1 size:1121" took too long (155.14245ms) to execute
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.429911 W | etcdserver: request "header:<ID:14919139277705198929 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e109b0f7ff7d51\" mod_revision:44455679 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e109b0f7ff7d51\" value_size:386 lease:5695767240850423097 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e109b0f7ff7d51\" > >>" with result "size:20" took too long (126.330977ms) to execute
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.443147 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (156.149085ms) to execute
Dec 17 03:06:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:06:40.444040 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8x89z\" " with result "range_response_count:1 size:1121" took too long (148.483943ms) to execute
Dec 17 03:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:07:40.431518 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gqwkn\" " with result "range_response_count:1 size:1121" took too long (129.447167ms) to execute
Dec 17 03:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:07:40.670216 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (155.505613ms) to execute
Dec 17 03:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 03:07:40.670330 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6l2mn\" " with result "range_response_count:1 size:1121" took too long (158.295677ms) to execute
