-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Thu 2019-12-19 23:23:00 UTC. --
Dec 19 23:00:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:00:58.903307 I | mvcc: store.index: compact 45140085
Dec 19 23:00:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:00:58.908760 I | mvcc: finished scheduled compaction at 45140085 (took 3.91706ms)
Dec 19 23:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:02:31.299438 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/statefulset-controller\" " with result "range_response_count:1 size:265" took too long (152.631083ms) to execute
Dec 19 23:04:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:04:12.788312 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/prometheus-operator-prometheus-node-exporter-cmsdn.15e1e17cda1a3453\" " with result "range_response_count:1 size:709" took too long (120.054644ms) to execute
Dec 19 23:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:05:58.915254 I | mvcc: store.index: compact 45141511
Dec 19 23:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:05:58.924351 I | mvcc: finished scheduled compaction at 45141511 (took 7.445285ms)
Dec 19 23:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:06:41.586357 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (143.472493ms) to execute
Dec 19 23:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:06:41.586591 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vwf2z\" " with result "range_response_count:1 size:1121" took too long (146.192148ms) to execute
Dec 19 23:06:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:06:41.586898 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9jdwl\" " with result "range_response_count:1 size:1118" took too long (126.743972ms) to execute
Dec 19 23:08:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:08:42.005347 W | etcdserver: request "header:<ID:14919139277707905203 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45142734 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (129.238662ms) to execute
Dec 19 23:08:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:08:42.005629 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dzls4\" " with result "range_response_count:1 size:1121" took too long (132.358416ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.335732 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wtfmx\" " with result "range_response_count:1 size:1121" took too long (162.499277ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.335856 W | etcdserver: request "header:<ID:14919139277707905725 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45142878 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (140.803286ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.355229 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bs9zp\" " with result "range_response_count:1 size:1118" took too long (163.086055ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.355779 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1e88043d1af9d\" " with result "range_response_count:1 size:485" took too long (181.932363ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.381908 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zpfrm\" " with result "range_response_count:1 size:1121" took too long (161.138844ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.562474 W | etcdserver: request "header:<ID:14919139277707905744 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-hxskj\" mod_revision:45142898 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-hxskj\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-hxskj\" > >>" with result "size:20" took too long (126.005901ms) to execute
Dec 19 23:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 23:09:42.562735 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1e88043d1af9d\" " with result "range_response_count:1 size:485" took too long (141.410072ms) to execute
