-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 04:36:37 UTC. --
Nov 01 04:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:16:25.455078 I | mvcc: store.index: compact 35323628
Nov 01 04:16:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:16:25.463666 I | mvcc: finished scheduled compaction at 35323628 (took 6.145765ms)
Nov 01 04:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:21:25.467695 I | mvcc: store.index: compact 35325314
Nov 01 04:21:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:21:25.478738 I | mvcc: finished scheduled compaction at 35325314 (took 8.518592ms)
Nov 01 04:26:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:26:25.482046 I | mvcc: store.index: compact 35325994
Nov 01 04:26:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:26:25.488099 I | mvcc: finished scheduled compaction at 35325994 (took 4.951911ms)
Nov 01 04:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:27:51.011190 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (360.492862ms) to execute
Nov 01 04:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:27:51.011561 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (233.874047ms) to execute
Nov 01 04:31:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:25.494820 I | mvcc: store.index: compact 35326622
Nov 01 04:31:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:25.501375 I | mvcc: finished scheduled compaction at 35326622 (took 4.665806ms)
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194034 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (138.675937ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194209 W | etcdserver: request "header:<ID:14919139277656981700 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d2efa026ba3e60\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d2efa026ba3e60\" value_size:354 lease:5695767240802205879 >> failure:<>>" with result "size:20" took too long (121.237468ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194425 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (135.961237ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194757 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (134.749708ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194801 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (136.087228ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.194935 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.451551ms) to execute
Nov 01 04:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 04:31:31.195122 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pls4d\" " with result "range_response_count:1 size:1121" took too long (128.441048ms) to execute
