-- Logs begin at Thu 2019-12-19 00:14:23 UTC, end at Fri 2019-12-20 08:53:40 UTC. --
Dec 20 08:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:07.646586 I | mvcc: store.index: compact 45245851
Dec 20 08:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:07.651088 I | mvcc: finished scheduled compaction at 45245851 (took 3.057258ms)
Dec 20 08:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:42.144981 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (678.185749ms) to execute
Dec 20 08:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:42.145459 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (657.263852ms) to execute
Dec 20 08:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:42.145951 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (721.371109ms) to execute
Dec 20 08:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:42.146471 W | etcdserver: request "header:<ID:14919139277708302137 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:45247713 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (218.836695ms) to execute
Dec 20 08:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:31:42.146612 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (130.911001ms) to execute
Dec 20 08:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:02.495725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (207.643542ms) to execute
Dec 20 08:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:02.495951 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (213.054539ms) to execute
Dec 20 08:32:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:20.997899 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (531.413279ms) to execute
Dec 20 08:32:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:20.998119 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (413.007143ms) to execute
Dec 20 08:32:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:20.998296 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (403.571988ms) to execute
Dec 20 08:32:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:32:30.127005 W | etcdserver: request "header:<ID:14919139277708302634 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-8xg7b.15e2073654dfc2f8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-8xg7b.15e2073654dfc2f8\" value_size:486 lease:5695767240853526665 >> failure:<>>" with result "size:20" took too long (863.359674ms) to execute
