-- Logs begin at Sun 2019-11-10 13:31:09 UTC, end at Tue 2019-11-12 12:57:08 UTC. --
Nov 12 12:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:35:46.436922 I | mvcc: store.index: compact 37992120
Nov 12 12:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:35:46.446099 I | mvcc: finished scheduled compaction at 37992120 (took 7.17879ms)
Nov 12 12:36:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:36:19.137452 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (190.119392ms) to execute
Nov 12 12:39:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:39:43.187134 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (105.925058ms) to execute
Nov 12 12:39:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:39:43.187264 W | etcdserver: request "header:<ID:14919139277667563805 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37994082 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (101.434827ms) to execute
Nov 12 12:39:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:39:43.187532 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (104.638825ms) to execute
Nov 12 12:39:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:39:43.187638 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lrdzl\" " with result "range_response_count:1 size:1121" took too long (105.24729ms) to execute
Nov 12 12:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:40:46.448977 I | mvcc: store.index: compact 37993501
Nov 12 12:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:40:46.460210 I | mvcc: finished scheduled compaction at 37993501 (took 7.547321ms)
Nov 12 12:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:40:46.763135 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (160.627769ms) to execute
Nov 12 12:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:42:12.830111 I | etcdserver: start to snapshot (applied: 41895146, lastsnap: 41885145)
Nov 12 12:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:42:12.941739 I | etcdserver: saved snapshot at index 41895146
