-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sun 2019-11-03 00:17:30 UTC. --
Nov 02 23:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:56:54.680821 I | mvcc: store.index: compact 35765131
Nov 02 23:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:56:54.694449 I | mvcc: finished scheduled compaction at 35765131 (took 7.430069ms)
Nov 02 23:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:56:54.802634 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (107.676827ms) to execute
Nov 02 23:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:00.664179 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (453.855323ms) to execute
Nov 02 23:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:00.664227 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (792.922113ms) to execute
Nov 02 23:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:00.664451 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (793.624558ms) to execute
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.896973 W | wal: sync duration of 1.154004246s, expected less than 1s
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.900372 W | etcdserver: failed to revoke 4f0b6e20c76c0fd7 ("lease not found")
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.900423 W | etcdserver: failed to revoke 4f0b6e20c76c0fd7 ("lease not found")
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.900667 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (939.356831ms) to execute
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.900749 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (413.810751ms) to execute
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.900789 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (216.705312ms) to execute
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.901006 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-gmswx.15d37dcc40ba7e29\" " with result "range_response_count:1 size:588" took too long (371.073797ms) to execute
Nov 02 23:58:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 23:58:04.901153 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (215.486133ms) to execute
Nov 03 00:01:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:01:54.701968 I | mvcc: store.index: compact 35766834
Nov 03 00:01:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:01:54.712629 I | mvcc: finished scheduled compaction at 35766834 (took 8.406122ms)
Nov 03 00:01:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:01:55.278424 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (495.28915ms) to execute
Nov 03 00:01:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:01:55.278572 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (281.414805ms) to execute
Nov 03 00:02:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:02:56.722496 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (221.565836ms) to execute
Nov 03 00:02:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:02:56.722612 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (385.263269ms) to execute
Nov 03 00:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:03:57.765380 W | wal: sync duration of 1.294130091s, expected less than 1s
Nov 03 00:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:03:57.777894 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.103989758s) to execute
Nov 03 00:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:03:57.781771 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (727.38556ms) to execute
Nov 03 00:03:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:03:57.782024 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (725.938146ms) to execute
Nov 03 00:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:04:14.719964 I | etcdserver: start to snapshot (applied: 39484881, lastsnap: 39474880)
Nov 03 00:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:04:14.829731 I | etcdserver: saved snapshot at index 39484881
Nov 03 00:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:04:14.830038 I | etcdserver: compacted raft log at 39479881
Nov 03 00:04:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:04:35.672350 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000259ba7c.snap successfully
Nov 03 00:06:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:06:29.302738 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (108.365748ms) to execute
