-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 03:04:28 UTC. --
Nov 04 02:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:46:15.530319 N | compactor: Starting auto-compaction at revision 35922818
Nov 04 02:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:46:15.530848 N | compactor: Finished auto-compaction at revision 35922818
Nov 04 02:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:47:31.375550 I | mvcc: store.index: compact 36000109
Nov 04 02:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:47:31.380633 I | mvcc: finished scheduled compaction at 36000109 (took 3.942437ms)
Nov 04 02:50:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:50:19.157023 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (727.501295ms) to execute
Nov 04 02:50:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:50:19.157560 W | etcdserver: failed to revoke 4f0b6e20c77bca70 ("lease not found")
Nov 04 02:50:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:50:19.163455 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (379.036066ms) to execute
Nov 04 02:52:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:52:31.394707 I | mvcc: store.index: compact 36000751
Nov 04 02:52:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:52:31.400646 I | mvcc: finished scheduled compaction at 36000751 (took 4.43399ms)
Nov 04 02:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:52:44.663546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (634.707032ms) to execute
Nov 04 02:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:52:44.663611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (167.222615ms) to execute
Nov 04 02:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:52:44.663796 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (634.94197ms) to execute
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.582773 W | wal: sync duration of 1.6134002s, expected less than 1s
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.586848 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.972422863s) to execute
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.587255 W | etcdserver: request "header:<ID:14919139277659730341 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:36001516 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (1.617591646s) to execute
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.587775 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.048443282s) to execute
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.593460 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (690.845015ms) to execute
Nov 04 02:53:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:53:31.593801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (581.918976ms) to execute
Nov 04 02:57:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:57:31.412154 I | mvcc: store.index: compact 36001414
Nov 04 02:57:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:57:31.422288 I | mvcc: finished scheduled compaction at 36001414 (took 8.352714ms)
Nov 04 03:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:02:31.431107 I | mvcc: store.index: compact 36001995
Nov 04 03:02:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 03:02:31.436934 I | mvcc: finished scheduled compaction at 36001995 (took 3.893905ms)
