-- Logs begin at Wed 2019-12-18 19:54:41 UTC, end at Fri 2019-12-20 07:36:48 UTC. --
Dec 20 07:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:16:07.344427 I | mvcc: store.index: compact 45232295
Dec 20 07:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:16:07.351638 I | mvcc: finished scheduled compaction at 45232295 (took 5.137775ms)
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.668708 W | wal: sync duration of 1.874023198s, expected less than 1s
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.703981 W | etcdserver: request "header:<ID:14919139277708250292 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45233404 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (1.879635403s) to execute
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.704275 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (1.894428018s) to execute
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.704534 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.008291176s) to execute
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.704621 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (481.555772ms) to execute
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.704753 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (947.440065ms) to execute
Dec 20 07:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:18:57.704784 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (172.285747ms) to execute
Dec 20 07:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:21:07.357641 I | mvcc: store.index: compact 45233009
Dec 20 07:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:21:07.363224 I | mvcc: finished scheduled compaction at 45233009 (took 4.163653ms)
Dec 20 07:23:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:23:35.988171 I | etcdserver: start to snapshot (applied: 49856128, lastsnap: 49846127)
Dec 20 07:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:23:36.170634 W | etcdserver: request "header:<ID:14919139277708252612 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45234015 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (109.494955ms) to execute
Dec 20 07:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:23:36.189218 I | etcdserver: saved snapshot at index 49856128
Dec 20 07:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:23:36.189756 I | etcdserver: compacted raft log at 49851128
Dec 20 07:23:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:23:45.932267 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f7fb2b.snap successfully
Dec 20 07:26:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:26:07.372187 I | mvcc: store.index: compact 45233724
Dec 20 07:26:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:26:07.377623 I | mvcc: finished scheduled compaction at 45233724 (took 4.534796ms)
Dec 20 07:26:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:26:07.555538 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (134.226917ms) to execute
Dec 20 07:26:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:26:43.546889 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zlrz5\" " with result "range_response_count:1 size:1121" took too long (104.976717ms) to execute
Dec 20 07:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:31:07.404821 I | mvcc: store.index: compact 45234361
Dec 20 07:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:31:07.413616 I | mvcc: finished scheduled compaction at 45234361 (took 7.389046ms)
Dec 20 07:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:32:44.190074 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (157.484737ms) to execute
Dec 20 07:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:32:44.190435 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tfkst\" " with result "range_response_count:1 size:1121" took too long (159.562202ms) to execute
Dec 20 07:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:32:44.217592 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-szlqj\" " with result "range_response_count:1 size:1118" took too long (169.624707ms) to execute
Dec 20 07:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:33:44.310425 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7fwl2\" " with result "range_response_count:1 size:1118" took too long (157.755276ms) to execute
Dec 20 07:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:33:44.310500 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xrpth\" " with result "range_response_count:1 size:1121" took too long (158.264894ms) to execute
Dec 20 07:33:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:33:44.342114 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-87j8q\" " with result "range_response_count:1 size:1121" took too long (163.518465ms) to execute
Dec 20 07:34:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 07:34:12.664717 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (190.492513ms) to execute
