-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Tue 2019-12-17 22:56:51 UTC. --
Dec 17 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:34:49.968528 I | mvcc: store.index: compact 44653516
Dec 17 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:34:49.975648 I | mvcc: finished scheduled compaction at 44653516 (took 5.317994ms)
Dec 17 22:35:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:35:11.854150 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (289.612121ms) to execute
Dec 17 22:35:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:35:11.854298 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (306.993522ms) to execute
Dec 17 22:36:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:36:02.306424 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (101.442126ms) to execute
Dec 17 22:36:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:36:02.306719 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28154" took too long (103.850119ms) to execute
Dec 17 22:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:34.684020 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (162.539491ms) to execute
Dec 17 22:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:34.684291 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (112.805441ms) to execute
Dec 17 22:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:34.684656 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (198.279724ms) to execute
Dec 17 22:37:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:42.616852 W | etcdserver: request "header:<ID:14919139277705979588 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:44655336 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240851203778 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (257.618676ms) to execute
Dec 17 22:37:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:42.617095 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (152.024394ms) to execute
Dec 17 22:37:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:42.987454 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (219.870285ms) to execute
Dec 17 22:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:45.272148 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (143.253427ms) to execute
Dec 17 22:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:47.221741 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (217.6908ms) to execute
Dec 17 22:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:47.224444 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lnzxs.15e1497d00044fe0\" " with result "range_response_count:1 size:592" took too long (109.524402ms) to execute
Dec 17 22:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:37:47.224801 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lnzxs\" " with result "range_response_count:1 size:1735" took too long (110.131901ms) to execute
