-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 21:16:00 UTC. --
Feb 02 20:54:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:54:53.806514 I | mvcc: store.index: compact 53503838
Feb 02 20:54:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:54:53.814246 I | mvcc: finished scheduled compaction at 53503838 (took 5.772228ms)
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.392629 W | wal: sync duration of 1.346812732s, expected less than 1s
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.398045 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (906.998782ms) to execute
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.405862 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (206.080315ms) to execute
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.405918 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (512.011668ms) to execute
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.406088 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (305.907907ms) to execute
Feb 02 20:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:55:11.406353 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (685.727899ms) to execute
Feb 02 20:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:56:50.404099 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rlb87.15efb1489324377b\" " with result "range_response_count:1 size:567" took too long (121.999895ms) to execute
Feb 02 20:57:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:57:00.579791 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (472.939051ms) to execute
Feb 02 20:58:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:58:12.613641 W | etcdserver: request "header:<ID:14919139277752552708 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-8kxnw\" mod_revision:53505107 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-8kxnw\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-8kxnw\" > >>" with result "size:20" took too long (117.333633ms) to execute
Feb 02 20:58:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 20:58:15.429156 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.154064032s) to execute
