-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 20:59:17 UTC. --
Nov 06 20:38:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:38:08.252794 I | mvcc: store.index: compact 36629089
Nov 06 20:38:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:38:08.259718 I | mvcc: finished scheduled compaction at 36629089 (took 5.368186ms)
Nov 06 20:39:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:39:03.452170 W | etcdserver: request "header:<ID:14919139277662164172 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36629873 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (104.953489ms) to execute
Nov 06 20:39:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:39:28.787208 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (533.992359ms) to execute
Nov 06 20:41:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:41:15.558852 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (406.563499ms) to execute
Nov 06 20:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:42:12.326706 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (300.366058ms) to execute
Nov 06 20:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:42:12.326774 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (247.733863ms) to execute
Nov 06 20:42:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:42:12.326921 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (292.148427ms) to execute
Nov 06 20:42:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:42:49.403608 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (154.28447ms) to execute
Nov 06 20:42:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:42:49.404252 W | etcdserver: request "header:<ID:14919139277662166480 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36630325 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (107.747104ms) to execute
Nov 06 20:43:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 20:43:04.393734 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (161.260591ms) to execute
