-- Logs begin at Mon 2019-12-16 06:00:50 UTC, end at Tue 2019-12-17 18:49:09 UTC. --
Dec 17 18:29:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:29:42.401365 W | etcdserver: request "header:<ID:14919139277705813171 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-4wctr\" mod_revision:44613204 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-4wctr\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-4wctr\" > >>" with result "size:20" took too long (120.842365ms) to execute
Dec 17 18:29:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:29:46.237122 I | mvcc: store.index: compact 44612276
Dec 17 18:29:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:29:46.243534 I | mvcc: finished scheduled compaction at 44612276 (took 4.871834ms)
Dec 17 18:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:31:42.571961 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (141.952666ms) to execute
Dec 17 18:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:31:42.575324 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qzcmm\" " with result "range_response_count:1 size:2946" took too long (118.833294ms) to execute
Dec 17 18:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:31:42.576035 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (114.423177ms) to execute
Dec 17 18:32:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:32:09.688366 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (471.068441ms) to execute
Dec 17 18:32:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:32:09.693654 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (199.289976ms) to execute
Dec 17 18:34:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:34:46.270172 I | mvcc: store.index: compact 44613230
Dec 17 18:34:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:34:46.281626 I | mvcc: finished scheduled compaction at 44613230 (took 9.224639ms)
Dec 17 18:39:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:39:46.286037 I | mvcc: store.index: compact 44613810
Dec 17 18:39:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:39:46.296647 I | mvcc: finished scheduled compaction at 44613810 (took 7.116406ms)
Dec 17 18:44:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:44:46.303268 I | mvcc: store.index: compact 44614343
Dec 17 18:44:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:44:46.313196 I | mvcc: finished scheduled compaction at 44614343 (took 7.551548ms)
