-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Tue 2019-12-17 02:06:05 UTC. --
Dec 17 01:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:44:22.461178 I | mvcc: store.index: compact 44440560
Dec 17 01:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:44:22.466632 I | mvcc: finished scheduled compaction at 44440560 (took 3.67372ms)
Dec 17 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:48:37.540389 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (124.099721ms) to execute
Dec 17 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:48:37.543435 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-x2ng9\" " with result "range_response_count:1 size:1121" took too long (116.19025ms) to execute
Dec 17 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:48:37.543769 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (125.221204ms) to execute
Dec 17 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:48:37.543999 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (124.404652ms) to execute
Dec 17 01:49:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:22.474071 I | mvcc: store.index: compact 44441865
Dec 17 01:49:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:22.485180 I | mvcc: finished scheduled compaction at 44441865 (took 9.134178ms)
Dec 17 01:49:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:22.825447 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (142.534313ms) to execute
Dec 17 01:49:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:37.796355 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nc4gg\" " with result "range_response_count:1 size:1121" took too long (160.849208ms) to execute
Dec 17 01:49:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:37.796470 W | etcdserver: request "header:<ID:14919139277705149524 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2bjrc.15e1057cadbca4da\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2bjrc.15e1057cadbca4da\" value_size:392 lease:5695767240850373609 >> failure:<>>" with result "size:20" took too long (132.793316ms) to execute
Dec 17 01:49:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:37.796608 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2bjrc\" " with result "range_response_count:1 size:1121" took too long (148.881341ms) to execute
Dec 17 01:49:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 01:49:37.796713 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (148.736924ms) to execute
