-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 07:07:16 UTC. --
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.081617 W | wal: sync duration of 2.010980555s, expected less than 1s
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.084079 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (1.996878346s) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.109762 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-542xz\" " with result "range_response_count:1 size:3784" took too long (1.519952593s) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.110970 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (789.522541ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111016 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (847.988931ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111230 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (1.075622394s) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111260 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (146.333082ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111404 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.437903ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111446 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/bypasses\" range_end:\"/registry/config.istio.io/bypasset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.416099127s) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111662 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-87652\" " with result "range_response_count:1 size:3782" took too long (1.460392948s) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111710 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (277.542766ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.111882 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (487.579184ms) to execute
Dec 19 06:43:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:10.112048 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (521.378528ms) to execute
Dec 19 06:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:18.314828 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (134.555078ms) to execute
Dec 19 06:43:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:43:37.821724 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (299.38255ms) to execute
