-- Logs begin at Sun 2019-12-15 19:38:11 UTC, end at Tue 2019-12-17 10:47:43 UTC. --
Dec 17 10:25:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:25:33.362136 W | etcdserver: request "header:<ID:14919139277705490177 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2ms88.15e121a41855f4bb\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2ms88.15e121a41855f4bb\" value_size:389 lease:5695767240850711846 >> failure:<>>" with result "size:20" took too long (121.321644ms) to execute
Dec 17 10:25:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:25:33.362641 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (127.102312ms) to execute
Dec 17 10:25:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:25:33.362735 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (127.826669ms) to execute
Dec 17 10:25:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:25:33.362858 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2ms88\" " with result "range_response_count:1 size:1118" took too long (108.363885ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977139 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (274.184969ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977208 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (285.144393ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977363 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (285.731317ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977485 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (285.015711ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977538 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (284.75148ms) to execute
Dec 17 10:28:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:20.977587 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (285.862547ms) to execute
Dec 17 10:28:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:22.732798 W | etcdserver: request "header:<ID:14919139277705491656 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:44531108 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (599.895784ms) to execute
Dec 17 10:28:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:22.736741 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (150.338562ms) to execute
Dec 17 10:28:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:30.107593 W | etcdserver: request "header:<ID:14919139277705491704 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:44531135 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (139.640818ms) to execute
Dec 17 10:28:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:31.495978 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (279.555875ms) to execute
Dec 17 10:28:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:31.496230 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (499.039349ms) to execute
Dec 17 10:28:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:31.496639 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (286.327706ms) to execute
Dec 17 10:28:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:31.496771 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (282.812391ms) to execute
Dec 17 10:28:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:32.326949 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (210.81513ms) to execute
Dec 17 10:28:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:33.935823 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (389.537936ms) to execute
Dec 17 10:28:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:33.936435 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (280.820225ms) to execute
Dec 17 10:28:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:33.936640 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (462.565175ms) to execute
Dec 17 10:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:37.415760 W | etcdserver: request "header:<ID:14919139277705491768 > lease_revoke:<id:4f0b6e20ca36b4c1>" with result "size:29" took too long (369.511982ms) to execute
Dec 17 10:28:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:48.139323 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (224.49547ms) to execute
Dec 17 10:28:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:48.139481 W | etcdserver: request "header:<ID:14919139277705491852 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:44531181 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (197.059845ms) to execute
Dec 17 10:28:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:48.139553 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (138.404345ms) to execute
Dec 17 10:28:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:52.569917 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (347.830876ms) to execute
Dec 17 10:28:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:57.534534 W | etcdserver: request "header:<ID:14919139277705491943 > lease_revoke:<id:4f0b6e20ca36b568>" with result "size:29" took too long (478.739445ms) to execute
Dec 17 10:28:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:57.538278 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (439.4091ms) to execute
Dec 17 10:28:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:59.515117 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2ms88\" " with result "range_response_count:1 size:1730" took too long (313.711224ms) to execute
Dec 17 10:28:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:59.515322 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (310.14488ms) to execute
Dec 17 10:28:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:28:59.515682 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (310.556938ms) to execute
Dec 17 10:29:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:06.539396 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (191.769069ms) to execute
Dec 17 10:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:27.011073 W | etcdserver: request "header:<ID:14919139277705492210 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<key:\"compact_rev_key\" version:69833 > success:<request_put:<key:\"compact_rev_key\" value_size:8 >> failure:<request_range:<key:\"compact_rev_key\" > >>" with result "size:20" took too long (154.83639ms) to execute
Dec 17 10:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:27.018617 I | mvcc: store.index: compact 44529822
Dec 17 10:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:27.024786 I | mvcc: finished scheduled compaction at 44529822 (took 4.960097ms)
Dec 17 10:29:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:50.137765 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (672.275798ms) to execute
Dec 17 10:29:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:50.138538 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (110.718803ms) to execute
Dec 17 10:29:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:29:58.305174 W | etcdserver: request "header:<ID:14919139277705492485 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44531345 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (634.699287ms) to execute
Dec 17 10:30:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:03.572263 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (254.201279ms) to execute
Dec 17 10:30:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:05.911141 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (328.968356ms) to execute
Dec 17 10:30:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:05.911394 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (554.040628ms) to execute
Dec 17 10:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:33.745620 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (115.382736ms) to execute
Dec 17 10:30:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:33.746064 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (136.232352ms) to execute
Dec 17 10:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:36.851466 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (116.792122ms) to execute
Dec 17 10:30:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 10:30:55.523725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (775.589598ms) to execute
