-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Wed 2019-12-18 21:09:17 UTC. --
Dec 18 20:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:23.634575 I | mvcc: store.index: compact 44880609
Dec 18 20:50:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:23.640771 I | mvcc: finished scheduled compaction at 44880609 (took 4.91472ms)
Dec 18 20:50:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:24.017445 W | etcdserver: request "header:<ID:14919139277706868966 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:44881582 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (259.145402ms) to execute
Dec 18 20:50:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:24.044502 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (130.258437ms) to execute
Dec 18 20:50:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:24.044572 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:3456" took too long (190.104557ms) to execute
Dec 18 20:50:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:48.396042 W | etcdserver: request "header:<ID:14919139277706869155 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e192574f983031\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e192574f983031\" value_size:354 lease:5695767240852093335 >> failure:<>>" with result "size:20" took too long (140.138657ms) to execute
Dec 18 20:50:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:48.415959 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (158.874506ms) to execute
Dec 18 20:50:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:48.418724 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (161.530765ms) to execute
Dec 18 20:50:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:48.418910 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-55bvh\" " with result "range_response_count:1 size:1121" took too long (154.736752ms) to execute
Dec 18 20:50:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:50.478339 I | etcdserver: start to snapshot (applied: 49476085, lastsnap: 49466084)
Dec 18 20:50:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:50.574987 I | etcdserver: saved snapshot at index 49476085
Dec 18 20:50:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:50:50.575621 I | etcdserver: compacted raft log at 49471085
Dec 18 20:51:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:51:13.713587 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f22ea0.snap successfully
Dec 18 20:51:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:51:33.547620 W | etcdserver: request "header:<ID:14919139277706869628 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e19261d18f8f06\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e19261d18f8f06\" value_size:354 lease:5695767240852093335 >> failure:<>>" with result "size:20" took too long (125.859278ms) to execute
Dec 18 20:51:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:51:33.548331 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pfscz\" " with result "range_response_count:1 size:1118" took too long (132.352552ms) to execute
Dec 18 20:51:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:51:33.617177 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-55wtx\" " with result "range_response_count:1 size:1121" took too long (197.547348ms) to execute
Dec 18 20:51:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:51:33.617654 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-58mwh\" " with result "range_response_count:1 size:1121" took too long (200.653412ms) to execute
Dec 18 20:52:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:52:33.693876 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kwd5c\" " with result "range_response_count:1 size:1121" took too long (145.46753ms) to execute
Dec 18 20:52:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:52:33.693926 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5ccpd\" " with result "range_response_count:1 size:1118" took too long (149.695365ms) to execute
