-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 23:44:18 UTC. --
Nov 01 23:26:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:38.503023 I | mvcc: store.index: compact 35522254
Nov 01 23:26:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:38.516238 I | mvcc: finished scheduled compaction at 35522254 (took 10.917649ms)
Nov 01 23:26:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:39.061376 W | etcdserver: request "header:<ID:14919139277657738013 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35523201 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (316.82282ms) to execute
Nov 01 23:26:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:39.119499 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (141.479888ms) to execute
Nov 01 23:26:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:39.119576 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (244.687887ms) to execute
Nov 01 23:26:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:26:51.375969 W | etcdserver: request "header:<ID:14919139277657738159 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-hcwdw\" mod_revision:35523258 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-hcwdw\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-hcwdw\" > >>" with result "size:20" took too long (133.228111ms) to execute
Nov 01 23:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:31:38.536042 I | mvcc: store.index: compact 35523224
Nov 01 23:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:31:38.545265 I | mvcc: finished scheduled compaction at 35523224 (took 7.241649ms)
Nov 01 23:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:31:38.953789 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (291.014051ms) to execute
Nov 01 23:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:31:38.953854 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (288.662749ms) to execute
Nov 01 23:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:31:38.953951 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (123.014462ms) to execute
Nov 01 23:36:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:36:38.641254 I | mvcc: store.index: compact 35523903
Nov 01 23:36:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:36:38.649070 I | mvcc: finished scheduled compaction at 35523903 (took 5.918805ms)
Nov 01 23:40:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:40:31.477180 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (216.919733ms) to execute
Nov 01 23:41:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:41:03.936163 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (157.745671ms) to execute
Nov 01 23:41:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:41:38.664155 I | mvcc: store.index: compact 35524486
Nov 01 23:41:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 23:41:38.670107 I | mvcc: finished scheduled compaction at 35524486 (took 4.812961ms)
