-- Logs begin at Mon 2019-12-16 06:00:50 UTC, end at Tue 2019-12-17 19:14:06 UTC. --
Dec 17 18:54:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:54:46.331960 I | mvcc: store.index: compact 44615480
Dec 17 18:54:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:54:46.341157 I | mvcc: finished scheduled compaction at 44615480 (took 6.949259ms)
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.610333 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (146.606797ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.610621 W | etcdserver: request "header:<ID:14919139277705831958 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e13d961a8cd09d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e13d961a8cd09d\" value_size:354 lease:5695767240851056122 >> failure:<>>" with result "size:20" took too long (133.229165ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611070 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-959w2\" " with result "range_response_count:1 size:1121" took too long (141.87986ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611277 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9x5qp\" " with result "range_response_count:1 size:1118" took too long (144.233696ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611330 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (110.349398ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611436 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (142.648582ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611688 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (142.923447ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.611774 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mhg2k\" " with result "range_response_count:1 size:1121" took too long (136.854052ms) to execute
Dec 17 18:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:57:39.612051 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7fjng\" " with result "range_response_count:1 size:1121" took too long (138.152038ms) to execute
Dec 17 18:58:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:58:39.852136 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wgctq\" " with result "range_response_count:1 size:1121" took too long (141.196039ms) to execute
Dec 17 18:58:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:58:39.852241 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (149.564104ms) to execute
Dec 17 18:58:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:58:39.852446 W | etcdserver: request "header:<ID:14919139277705832567 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-hwrrc.15e13da42162b0e5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-hwrrc.15e13da42162b0e5\" value_size:392 lease:5695767240851056723 >> failure:<>>" with result "size:20" took too long (113.992109ms) to execute
Dec 17 18:58:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 18:58:39.852732 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e13da41de4bad8\" " with result "range_response_count:1 size:485" took too long (150.020402ms) to execute
