-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 08:00:33 UTC. --
Dec 18 07:40:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:40:09.154313 I | mvcc: store.index: compact 44743674
Dec 18 07:40:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:40:09.160622 I | mvcc: finished scheduled compaction at 44743674 (took 4.831052ms)
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.573345 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (154.643375ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.573657 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xkr64\" " with result "range_response_count:1 size:1121" took too long (147.4654ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.577844 W | etcdserver: request "header:<ID:14919139277706330497 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-5ddg7.15e16757961d2930\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-5ddg7.15e16757961d2930\" value_size:392 lease:5695767240851554673 >> failure:<>>" with result "size:20" took too long (118.811265ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.578476 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (129.881307ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.579202 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (130.479983ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.580071 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5ddg7\" " with result "range_response_count:1 size:1121" took too long (122.382318ms) to execute
Dec 18 07:42:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:42:50.580324 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (141.37709ms) to execute
Dec 18 07:45:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:45:09.206967 I | mvcc: store.index: compact 44745091
Dec 18 07:45:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:45:09.218955 I | mvcc: finished scheduled compaction at 44745091 (took 10.023809ms)
