-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Sat 2019-12-21 02:16:29 UTC. --
Dec 21 01:56:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:56:22.298025 I | mvcc: store.index: compact 45430500
Dec 21 01:56:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:56:22.302981 I | mvcc: finished scheduled compaction at 45430500 (took 3.655829ms)
Dec 21 01:59:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:59:32.384725 W | etcdserver: request "header:<ID:14919139277709028512 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-x9ll9\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-x9ll9\" value_size:976 >> failure:<>>" with result "size:20" took too long (126.119717ms) to execute
Dec 21 02:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:00:32.536005 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (138.698614ms) to execute
Dec 21 02:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:00:32.536098 W | etcdserver: request "header:<ID:14919139277709029097 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-s9lxl.15e24067675ea478\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-s9lxl.15e24067675ea478\" value_size:392 lease:5695767240854253108 >> failure:<>>" with result "size:20" took too long (121.369827ms) to execute
Dec 21 02:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:00:32.536549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s9lxl\" " with result "range_response_count:1 size:1121" took too long (114.608719ms) to execute
Dec 21 02:01:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:22.311428 I | mvcc: store.index: compact 45431229
Dec 21 02:01:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:22.318228 I | mvcc: finished scheduled compaction at 45431229 (took 5.493207ms)
Dec 21 02:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:32.736920 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e240756962d36c\" " with result "range_response_count:1 size:485" took too long (149.911472ms) to execute
Dec 21 02:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:32.736985 W | etcdserver: request "header:<ID:14919139277709029660 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45432106 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (133.459573ms) to execute
Dec 21 02:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:32.752115 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nphgv\" " with result "range_response_count:1 size:1118" took too long (158.077874ms) to execute
Dec 21 02:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:32.752415 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dzrrv\" " with result "range_response_count:1 size:1121" took too long (158.571908ms) to execute
Dec 21 02:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:32.757096 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pkmv7\" " with result "range_response_count:1 size:1121" took too long (112.865804ms) to execute
Dec 21 02:01:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:01:35.239123 W | etcdserver: request "header:<ID:14919139277709029740 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45432066 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (101.545205ms) to execute
Dec 21 02:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:32.855846 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-828j5\" " with result "range_response_count:1 size:1121" took too long (169.104483ms) to execute
Dec 21 02:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:32.856032 W | etcdserver: request "header:<ID:14919139277709030287 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-828j5.15e2408368e714ba\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-828j5.15e2408368e714ba\" value_size:392 lease:5695767240854254445 >> failure:<>>" with result "size:20" took too long (137.74096ms) to execute
Dec 21 02:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:32.870831 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kxxm4\" " with result "range_response_count:1 size:1121" took too long (162.483745ms) to execute
Dec 21 02:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:32.871061 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e240756962d36c\" " with result "range_response_count:1 size:485" took too long (174.91692ms) to execute
Dec 21 02:02:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:32.897780 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-k2pg9\" " with result "range_response_count:1 size:1121" took too long (165.692014ms) to execute
Dec 21 02:02:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 02:02:33.094324 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e240756962d36c\" " with result "range_response_count:1 size:485" took too long (136.066731ms) to execute
