-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 17:13:44 UTC. --
Nov 11 16:51:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:51:45.296898 W | etcdserver: request "header:<ID:14919139277666778726 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:37791814 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (190.82188ms) to execute
Nov 11 16:53:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:53:32.814631 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (131.019358ms) to execute
Nov 11 16:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:53:33.045751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (136.722138ms) to execute
Nov 11 16:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:53:33.045953 W | etcdserver: request "header:<ID:14919139277666779977 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:37792098 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (122.2694ms) to execute
Nov 11 16:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:53:33.063410 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-hhfxh\" " with result "range_response_count:1 size:2738" took too long (100.710257ms) to execute
Nov 11 16:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:31.609156 I | mvcc: store.index: compact 37791460
Nov 11 16:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:31.616938 I | mvcc: finished scheduled compaction at 37791460 (took 5.864381ms)
Nov 11 16:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:32.897965 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (959.367271ms) to execute
Nov 11 16:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:32.898113 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (779.71ms) to execute
Nov 11 16:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:32.898153 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (501.943976ms) to execute
Nov 11 16:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:55:32.898246 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (959.619854ms) to execute
