-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 11:51:59 UTC. --
Nov 07 11:31:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:14.963062 W | etcdserver: request "header:<ID:14919139277662739763 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g47zv\" mod_revision:36775593 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g47zv\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g47zv\" > >>" with result "size:20" took too long (121.112001ms) to execute
Nov 07 11:31:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:14.987060 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (143.021919ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.016385 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (149.320678ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.220103 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (195.027395ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.220341 W | etcdserver: request "header:<ID:14919139277662739778 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:36775592 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (149.009905ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.235759 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (174.714902ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.235853 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (177.62341ms) to execute
Nov 07 11:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:15.236080 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (178.101955ms) to execute
Nov 07 11:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:23.476725 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m5bct\" " with result "range_response_count:1 size:2943" took too long (139.231757ms) to execute
Nov 07 11:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:23.476825 W | etcdserver: request "header:<ID:14919139277662739893 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36775649 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (120.557794ms) to execute
Nov 07 11:31:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 11:31:23.477109 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (135.539974ms) to execute
