-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 14:35:57 UTC. --
Nov 08 14:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:14:03.489573 I | mvcc: store.index: compact 37052358
Nov 08 14:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:14:03.497053 I | mvcc: finished scheduled compaction at 37052358 (took 5.641944ms)
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.583020 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (249.880289ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.583079 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (244.125031ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.583409 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (247.621074ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.583543 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tb92l\" " with result "range_response_count:1 size:2738" took too long (236.603709ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.606062 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (242.44671ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.606148 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (202.123724ms) to execute
Nov 08 14:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:22.606246 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (149.131434ms) to execute
Nov 08 14:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:57.481790 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:131" took too long (134.586921ms) to execute
Nov 08 14:15:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:15:57.481887 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (105.028803ms) to execute
Nov 08 14:16:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:16:37.494532 W | etcdserver: request "header:<ID:14919139277663811506 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:37054418 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (113.681422ms) to execute
Nov 08 14:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:17:07.817958 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (195.121764ms) to execute
Nov 08 14:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:17:07.876485 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (178.72212ms) to execute
Nov 08 14:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:17:07.876775 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (103.466891ms) to execute
Nov 08 14:17:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:17:07.876915 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (226.387339ms) to execute
