-- Logs begin at Thu 2020-01-30 03:46:10 UTC, end at Fri 2020-01-31 22:51:59 UTC. --
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.775511 W | wal: sync duration of 1.044483122s, expected less than 1s
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.777995 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (845.82383ms) to execute
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.784381 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-gntfl\" " with result "range_response_count:1 size:2314" took too long (488.349706ms) to execute
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.784632 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (711.464385ms) to execute
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.785584 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (185.866258ms) to execute
Jan 31 22:29:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:09.313717 I | mvcc: store.index: compact 53049506
Jan 31 22:29:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:09.322186 I | mvcc: finished scheduled compaction at 53049506 (took 7.015255ms)
Jan 31 22:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:20.794130 W | etcdserver: request "header:<ID:14919139277750734686 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > lease_grant:<ttl:15-second id:4f0b6e20cce90f5d>" with result "size:41" took too long (584.159564ms) to execute
Jan 31 22:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:20.794514 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (552.879313ms) to execute
Jan 31 22:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:20.794888 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (547.359007ms) to execute
Jan 31 22:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:20.795101 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (306.219868ms) to execute
Jan 31 22:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:20.795658 W | etcdserver: read-only range request "key:\"/registry/namespaces/istio-system\" " with result "range_response_count:1 size:188" took too long (502.929601ms) to execute
Jan 31 22:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:24.823131 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (121.463895ms) to execute
Jan 31 22:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:25.234321 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/backend\" " with result "range_response_count:0 size:7" took too long (238.352173ms) to execute
Jan 31 22:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:25.234486 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (258.007144ms) to execute
Jan 31 22:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:27.046230 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (184.337362ms) to execute
Jan 31 22:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:27.046377 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (211.774415ms) to execute
Jan 31 22:29:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:27.046783 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (188.56648ms) to execute
Jan 31 22:29:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:30.632158 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (137.216244ms) to execute
Jan 31 22:29:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:31.211357 W | etcdserver: request "header:<ID:14919139277750735031 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53050124 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (136.475723ms) to execute
