-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sun 2020-02-02 00:32:56 UTC. --
Feb 02 00:09:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:09:45.854039 W | etcdserver: request "header:<ID:14919139277751744811 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-9gb4n\" mod_revision:53306899 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-9gb4n\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-9gb4n\" > >>" with result "size:20" took too long (119.776073ms) to execute
Feb 02 00:09:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:09:45.869549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xp8nl\" " with result "range_response_count:1 size:2946" took too long (133.261933ms) to execute
Feb 02 00:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:01.199753 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (115.79039ms) to execute
Feb 02 00:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:01.199934 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (115.965191ms) to execute
Feb 02 00:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:01.202613 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (117.531196ms) to execute
Feb 02 00:13:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:26.630066 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (542.666432ms) to execute
Feb 02 00:13:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:26.633317 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (493.873477ms) to execute
Feb 02 00:13:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:13:26.633619 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (224.876888ms) to execute
Feb 02 00:14:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:01.249367 W | etcdserver: request "header:<ID:14919139277751747714 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53307563 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (122.721038ms) to execute
Feb 02 00:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:29.308840 I | mvcc: store.index: compact 53306819
Feb 02 00:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:29.316099 I | mvcc: finished scheduled compaction at 53306819 (took 5.438391ms)
Feb 02 00:14:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:29.703813 W | etcdserver: request "header:<ID:14919139277751748044 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53307650 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (382.735178ms) to execute
Feb 02 00:14:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:36.602265 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (316.725862ms) to execute
Feb 02 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:57.664044 W | wal: sync duration of 1.371394429s, expected less than 1s
Feb 02 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:57.669271 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (804.542086ms) to execute
Feb 02 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:57.677295 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (809.705278ms) to execute
Feb 02 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:57.677560 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (329.202589ms) to execute
Feb 02 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:14:57.677790 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (619.494567ms) to execute
Feb 02 00:15:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:15:01.276504 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mczsm\" " with result "range_response_count:1 size:2946" took too long (162.077737ms) to execute
Feb 02 00:15:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 00:15:01.279611 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xbxfg\" " with result "range_response_count:1 size:2943" took too long (102.614061ms) to execute
