-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 08:25:12 UTC. --
Nov 10 08:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:04:27.827442 I | mvcc: store.index: compact 37464183
Nov 10 08:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:04:27.832518 I | mvcc: finished scheduled compaction at 37464183 (took 3.968643ms)
Nov 10 08:05:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:15.416806 W | etcdserver: request "header:<ID:14919139277665481218 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-fdqwx\" mod_revision:37466062 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-fdqwx\" value_size:2867 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-fdqwx\" > >>" with result "size:20" took too long (100.184272ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.223475 W | etcdserver: request "header:<ID:14919139277665481333 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ptpll\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ptpll\" value_size:2578 >> failure:<>>" with result "size:20" took too long (140.601272ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.224530 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (153.030815ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.242036 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (168.171535ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.242161 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (168.347744ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.242280 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (140.464575ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.481410 W | etcdserver: request "header:<ID:14919139277665481353 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:37466135 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (145.09351ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.481621 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (159.545139ms) to execute
Nov 10 08:05:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 08:05:22.492603 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ptpll\" " with result "range_response_count:1 size:2738" took too long (107.743074ms) to execute
