-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sat 2019-11-02 22:35:35 UTC. --
Nov 02 22:15:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:15:29.010389 W | etcdserver: request "header:<ID:14919139277658634857 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:35750259 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (138.289879ms) to execute
Nov 02 22:15:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:15:29.010571 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sbsgz\" " with result "range_response_count:1 size:1121" took too long (139.791181ms) to execute
Nov 02 22:15:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:15:29.024947 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fbz5v\" " with result "range_response_count:1 size:1121" took too long (148.589036ms) to execute
Nov 02 22:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:29.122182 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d378521c849a51\" " with result "range_response_count:1 size:485" took too long (143.673155ms) to execute
Nov 02 22:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:29.122380 W | etcdserver: request "header:<ID:14919139277658635455 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-qm5fp\" mod_revision:35750462 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-qm5fp\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-qm5fp\" > >>" with result "size:20" took too long (141.904768ms) to execute
Nov 02 22:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:29.137065 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lpcmj\" " with result "range_response_count:1 size:1121" took too long (156.609908ms) to execute
Nov 02 22:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:29.163966 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (180.948781ms) to execute
Nov 02 22:16:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:54.070169 I | mvcc: store.index: compact 35749766
Nov 02 22:16:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:16:54.077388 I | mvcc: finished scheduled compaction at 35749766 (took 5.983601ms)
Nov 02 22:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:17:29.339424 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d378521c849a51\" " with result "range_response_count:1 size:485" took too long (200.765685ms) to execute
Nov 02 22:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:17:29.524145 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cdhzw\" " with result "range_response_count:1 size:1121" took too long (363.839907ms) to execute
Nov 02 22:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:17:29.524193 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2w6z8\" " with result "range_response_count:1 size:1121" took too long (377.879672ms) to execute
Nov 02 22:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:17:29.524265 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (293.683257ms) to execute
Nov 02 22:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 22:17:29.526307 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5q2n9\" " with result "range_response_count:1 size:1118" took too long (164.775755ms) to execute
