-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 16:48:10 UTC. --
Nov 11 16:26:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:26:22.770608 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (340.697153ms) to execute
Nov 11 16:27:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:27:03.494182 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.167763ms) to execute
Nov 11 16:28:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:28:36.505192 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (178.839782ms) to execute
Nov 11 16:28:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:28:41.601704 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (108.204573ms) to execute
Nov 11 16:30:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:30:31.511788 I | mvcc: store.index: compact 37787203
Nov 11 16:30:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:30:31.520660 I | mvcc: finished scheduled compaction at 37787203 (took 7.351292ms)
Nov 11 16:35:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:35:31.526206 I | mvcc: store.index: compact 37787909
Nov 11 16:35:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:35:31.532732 I | mvcc: finished scheduled compaction at 37787909 (took 4.298747ms)
Nov 11 16:40:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:40:31.539822 I | mvcc: store.index: compact 37788630
Nov 11 16:40:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:40:31.546475 I | mvcc: finished scheduled compaction at 37788630 (took 5.601993ms)
Nov 11 16:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:45:31.555228 I | mvcc: store.index: compact 37789301
Nov 11 16:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:45:31.561304 I | mvcc: finished scheduled compaction at 37789301 (took 4.776299ms)
Nov 11 16:45:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:45:33.376119 W | etcdserver: request "header:<ID:14919139277666772550 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37789921 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4519 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (117.736472ms) to execute
Nov 11 16:46:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:46:20.688222 W | etcdserver: request "header:<ID:14919139277666772961 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37790024 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (132.752845ms) to execute
Nov 11 16:46:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 16:46:20.689453 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (141.181109ms) to execute
