-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 03:51:51 UTC. --
Feb 01 03:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:07.428239 W | etcdserver: request "header:<ID:14919139277750935197 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:0 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:145 >> failure:<>>" with result "size:20" took too long (114.373391ms) to execute
Feb 01 03:29:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:12.254861 I | mvcc: store.index: compact 53099601
Feb 01 03:29:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:12.260047 I | mvcc: finished scheduled compaction at 53099601 (took 4.008704ms)
Feb 01 03:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:22.808749 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (114.039574ms) to execute
Feb 01 03:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:22.812722 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (115.569383ms) to execute
Feb 01 03:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:22.813054 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l5hs2\" " with result "range_response_count:1 size:1118" took too long (107.047131ms) to execute
Feb 01 03:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:29:22.813378 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (116.03985ms) to execute
Feb 01 03:33:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:33:53.252127 W | etcdserver: request "header:<ID:14919139277750937672 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-cwns6.15ef29df42695f9e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-cwns6.15ef29df42695f9e\" value_size:392 lease:5695767240896161849 >> failure:<>>" with result "size:20" took too long (126.146989ms) to execute
Feb 01 03:33:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:33:53.253580 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (149.131473ms) to execute
Feb 01 03:33:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:33:53.262417 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (156.972076ms) to execute
Feb 01 03:33:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:33:53.263000 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cwns6\" " with result "range_response_count:1 size:1121" took too long (149.728351ms) to execute
