-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 15:35:04 UTC. --
Nov 07 15:13:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:13:49.908555 I | mvcc: store.index: compact 36812151
Nov 07 15:13:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:13:49.915511 I | mvcc: finished scheduled compaction at 36812151 (took 4.844851ms)
Nov 07 15:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:15:24.427306 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (130.438498ms) to execute
Nov 07 15:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:15:24.429283 W | etcdserver: request "header:<ID:14919139277662894568 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-h7z2s\" mod_revision:36813792 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-h7z2s\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-h7z2s\" > >>" with result "size:20" took too long (118.842423ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.500045 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (141.825759ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.503845 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gkxw4\" " with result "range_response_count:1 size:1118" took too long (128.36344ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.504354 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lr787\" " with result "range_response_count:1 size:1121" took too long (120.308875ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.504513 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ttzk4\" " with result "range_response_count:1 size:1121" took too long (121.378434ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.714992 W | etcdserver: request "header:<ID:14919139277662895119 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > lease_grant:<ttl:15-second id:4f0b6e20c7acbc0e>" with result "size:41" took too long (113.638383ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.715299 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (125.103382ms) to execute
Nov 07 15:16:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:16:24.715462 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/kube-system/\" range_end:\"/registry/resourcequotas/kube-system0\" " with result "range_response_count:0 size:7" took too long (124.43412ms) to execute
Nov 07 15:17:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:17:24.507945 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4ea4c8caa8e51\" " with result "range_response_count:1 size:485" took too long (139.362856ms) to execute
Nov 07 15:17:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:17:24.539260 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (111.568212ms) to execute
Nov 07 15:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:18:24.723722 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zb66g\" " with result "range_response_count:1 size:1121" took too long (147.073402ms) to execute
Nov 07 15:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:18:24.724078 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4ea4c8caa8e51\" " with result "range_response_count:1 size:485" took too long (131.315021ms) to execute
Nov 07 15:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:18:24.724258 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (132.172139ms) to execute
Nov 07 15:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:18:49.925032 I | mvcc: store.index: compact 36813546
Nov 07 15:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:18:49.936898 I | mvcc: finished scheduled compaction at 36813546 (took 9.899287ms)
Nov 07 15:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:23:49.939241 I | mvcc: store.index: compact 36814421
Nov 07 15:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:23:49.946093 I | mvcc: finished scheduled compaction at 36814421 (took 5.178051ms)
Nov 07 15:23:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:23:50.228287 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (210.024629ms) to execute
Nov 07 15:28:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:28:49.967891 I | mvcc: store.index: compact 36814937
Nov 07 15:28:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 15:28:49.974820 I | mvcc: finished scheduled compaction at 36814937 (took 5.77948ms)
