-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Fri 2019-11-08 03:52:08 UTC. --
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.382854 I | mvcc: store.index: compact 36939220
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.401707 I | mvcc: finished scheduled compaction at 36939220 (took 15.09285ms)
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.911096 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (144.559824ms) to execute
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.911220 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (504.572351ms) to execute
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.911285 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (507.478008ms) to execute
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.911407 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (507.404473ms) to execute
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.911491 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (507.016202ms) to execute
Nov 08 03:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:33:56.912907 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (509.903174ms) to execute
Nov 08 03:36:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:36:28.342847 W | etcdserver: request "header:<ID:14919139277663387476 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mhpsb\" mod_revision:36940754 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mhpsb\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mhpsb\" > >>" with result "size:20" took too long (142.812042ms) to execute
Nov 08 03:36:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:36:28.343270 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2v2kv\" " with result "range_response_count:1 size:1121" took too long (128.432084ms) to execute
Nov 08 03:37:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:28.432850 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rw2nz\" " with result "range_response_count:1 size:1121" took too long (141.588334ms) to execute
Nov 08 03:37:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:28.465047 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (146.164374ms) to execute
Nov 08 03:37:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:28.465123 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (169.787566ms) to execute
Nov 08 03:37:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:28.652652 W | etcdserver: request "header:<ID:14919139277663388011 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d512bd1a55247b\" mod_revision:36940925 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d512bd1a55247b\" value_size:386 lease:5695767240808612150 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d512bd1a55247b\" > >>" with result "size:20" took too long (118.746758ms) to execute
Nov 08 03:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:30.791468 W | etcdserver: request "header:<ID:14919139277663388062 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mnms8\" mod_revision:36940921 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mnms8\" value_size:1667 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mnms8\" > >>" with result "size:20" took too long (113.306136ms) to execute
Nov 08 03:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:30.797832 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (143.250668ms) to execute
Nov 08 03:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:30.810821 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rw2nz\" " with result "range_response_count:1 size:1502" took too long (108.701498ms) to execute
Nov 08 03:37:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:37:30.811380 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (109.954083ms) to execute
Nov 08 03:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:28.445114 W | etcdserver: request "header:<ID:14919139277663388553 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wv4kl\" mod_revision:36941098 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wv4kl\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wv4kl\" > >>" with result "size:20" took too long (136.979135ms) to execute
Nov 08 03:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:28.448862 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d512bd1a55247b\" " with result "range_response_count:1 size:485" took too long (154.201799ms) to execute
Nov 08 03:38:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:28.690775 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gjz5p\" " with result "range_response_count:1 size:1118" took too long (146.066741ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.467249 I | mvcc: store.index: compact 36940374
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.494079 I | mvcc: finished scheduled compaction at 36940374 (took 25.130891ms)
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.861477 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (364.210929ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.861767 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (364.583765ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.861913 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (364.46476ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.862071 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (364.794679ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.862240 W | etcdserver: request "header:<ID:14919139277663388874 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:36941224 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (161.186793ms) to execute
Nov 08 03:38:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:38:56.862410 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (362.19953ms) to execute
Nov 08 03:39:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:39:20.143132 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (425.737378ms) to execute
Nov 08 03:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:43:56.481147 I | mvcc: store.index: compact 36941241
Nov 08 03:43:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:43:56.488934 I | mvcc: finished scheduled compaction at 36941241 (took 6.337694ms)
Nov 08 03:48:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:48:03.493715 N | compactor: Starting auto-compaction at revision 36858109
Nov 08 03:48:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:48:03.494299 N | compactor: Finished auto-compaction at revision 36858109
Nov 08 03:48:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:48:56.497302 I | mvcc: store.index: compact 36941757
Nov 08 03:48:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 03:48:56.502209 I | mvcc: finished scheduled compaction at 36941757 (took 3.7372ms)
