-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Tue 2019-11-12 01:19:33 UTC. --
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.414404 W | wal: sync duration of 1.996455823s, expected less than 1s
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.418499 W | etcdserver: failed to revoke 4f0b6e20c7ecf586 ("lease not found")
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.418545 W | etcdserver: failed to revoke 4f0b6e20c7ecf586 ("lease not found")
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.418705 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.641236601s) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425165 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (873.439135ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425204 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (871.191288ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425469 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (343.472468ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425527 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (765.70314ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425813 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (873.89484ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425873 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (873.946194ms) to execute
Nov 12 01:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:03.425898 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (874.111885ms) to execute
Nov 12 01:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:37.791472 I | mvcc: store.index: compact 37876305
Nov 12 01:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:00:37.798578 I | mvcc: finished scheduled compaction at 37876305 (took 5.886423ms)
Nov 12 01:03:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:03:02.843040 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (430.483231ms) to execute
Nov 12 01:03:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 01:03:02.843299 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (287.445212ms) to execute
