-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 13:21:22 UTC. --
Nov 09 12:59:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 12:59:19.240609 I | mvcc: store.index: compact 37272555
Nov 09 12:59:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 12:59:19.245921 I | mvcc: finished scheduled compaction at 37272555 (took 3.99936ms)
Nov 09 13:01:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:17.894152 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (107.524936ms) to execute
Nov 09 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:18.148467 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (175.927211ms) to execute
Nov 09 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:18.148666 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-95kc2\" " with result "range_response_count:1 size:2738" took too long (173.968478ms) to execute
Nov 09 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:18.149594 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (174.359316ms) to execute
Nov 09 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:18.180124 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (180.112701ms) to execute
Nov 09 13:01:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:18.387208 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (155.661114ms) to execute
Nov 09 13:01:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:23.565462 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (160.177479ms) to execute
Nov 09 13:01:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:23.596760 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (178.716043ms) to execute
Nov 09 13:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:26.425500 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (132.956563ms) to execute
Nov 09 13:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:26.425698 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f6dwm\" " with result "range_response_count:1 size:2946" took too long (120.795103ms) to execute
Nov 09 13:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:32.987196 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (152.571758ms) to execute
Nov 09 13:01:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:32.987719 W | etcdserver: request "header:<ID:14919139277664723859 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:37274674 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (142.76012ms) to execute
Nov 09 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:33.003605 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (158.828606ms) to execute
Nov 09 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:33.034504 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (160.811188ms) to execute
Nov 09 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:33.034733 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (135.536758ms) to execute
Nov 09 13:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:01:33.034970 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2md7x\" " with result "range_response_count:1 size:2738" took too long (186.998444ms) to execute
Nov 09 13:02:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:02:27.034344 W | etcdserver: request "header:<ID:14919139277664724452 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xfnf9\" mod_revision:37274824 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xfnf9\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-xfnf9\" > >>" with result "size:20" took too long (124.378529ms) to execute
Nov 09 13:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:19.252049 I | mvcc: store.index: compact 37274311
Nov 09 13:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:19.263267 I | mvcc: finished scheduled compaction at 37274311 (took 9.967699ms)
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.609178 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.323610078s) to execute
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.609608 W | etcdserver: request "header:<ID:14919139277664725709 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:37275084 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4198 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (1.313839376s) to execute
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.636442 W | wal: sync duration of 1.341210533s, expected less than 1s
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.636695 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.338199323s) to execute
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.638458 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (1.143140555s) to execute
Nov 09 13:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:04:20.638693 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (906.369208ms) to execute
Nov 09 13:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:05:29.720610 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gdc48\" " with result "range_response_count:1 size:2946" took too long (567.604566ms) to execute
Nov 09 13:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:05:29.720740 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (579.51727ms) to execute
Nov 09 13:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:05:29.723668 W | etcdserver: request "header:<ID:14919139277664726468 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d58050bd83ac49\" mod_revision:37275243 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d58050bd83ac49\" value_size:386 lease:5695767240809950630 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d58050bd83ac49\" > >>" with result "size:20" took too long (545.592008ms) to execute
Nov 09 13:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:05:29.724294 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6zw89\" " with result "range_response_count:1 size:2946" took too long (562.218122ms) to execute
Nov 09 13:05:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:05:29.725321 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (560.899397ms) to execute
Nov 09 13:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:06:05.545806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (351.531558ms) to execute
Nov 09 13:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:06:05.545955 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (390.811176ms) to execute
Nov 09 13:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:06:06.317331 W | etcdserver: request "header:<ID:14919139277664726917 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37275359 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (667.360128ms) to execute
Nov 09 13:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 13:06:06.317800 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-kg5gn\" " with result "range_response_count:1 size:2314" took too long (629.366775ms) to execute
