-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 04:05:40 UTC. --
Dec 19 03:43:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:43:07.654633 W | wal: sync duration of 1.008019622s, expected less than 1s
Dec 19 03:43:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:43:07.657350 W | etcdserver: request "header:<ID:14919139277707145252 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:44949262 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (1.010538103s) to execute
Dec 19 03:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:43:18.210887 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-svzh7\" " with result "range_response_count:1 size:3255" took too long (118.571276ms) to execute
Dec 19 03:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:43:18.211055 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (128.745578ms) to execute
Dec 19 03:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:44:18.817485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (161.358468ms) to execute
Dec 19 03:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:44:18.848078 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-86xls\" " with result "range_response_count:1 size:3010" took too long (186.043292ms) to execute
Dec 19 03:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:44:18.848855 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (182.127456ms) to execute
Dec 19 03:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:44:18.849119 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (181.729719ms) to execute
Dec 19 03:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:45:44.170637 I | mvcc: store.index: compact 44948871
Dec 19 03:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:45:44.178317 I | mvcc: finished scheduled compaction at 44948871 (took 6.326496ms)
Dec 19 03:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:45:44.495480 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (220.487628ms) to execute
Dec 19 03:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:45:44.495578 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (220.25061ms) to execute
Dec 19 03:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:45:44.495767 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (141.572928ms) to execute
Dec 19 03:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:46:19.669955 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (163.389833ms) to execute
Dec 19 03:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:46:19.670309 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (164.487501ms) to execute
Dec 19 03:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:46:19.670964 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-r6jdj\" " with result "range_response_count:1 size:3010" took too long (146.064359ms) to execute
Dec 19 03:49:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:49:28.648034 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (100.91058ms) to execute
Dec 19 03:50:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 03:50:42.785989 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (109.303145ms) to execute
