-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Mon 2019-11-11 00:03:02 UTC. --
Nov 10 23:42:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:25.071177 W | etcdserver: request "header:<ID:14919139277666088140 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:37620647 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (140.343915ms) to execute
Nov 10 23:42:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:25.072085 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (161.594579ms) to execute
Nov 10 23:42:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:25.087056 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (169.036662ms) to execute
Nov 10 23:42:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:25.348856 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (199.442455ms) to execute
Nov 10 23:42:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:25.348889 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (196.57132ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.032707 W | etcdserver: request "header:<ID:14919139277666088392 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-pv2lc\" mod_revision:37621132 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-pv2lc\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-pv2lc\" > >>" with result "size:20" took too long (111.582281ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.033015 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (112.81988ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.053744 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (131.841637ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.262715 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (113.783028ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.263235 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (132.834973ms) to execute
Nov 10 23:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:42:40.263546 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (153.744511ms) to execute
Nov 10 23:45:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:21.507678 I | mvcc: store.index: compact 37620740
Nov 10 23:45:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:21.517660 I | mvcc: finished scheduled compaction at 37620740 (took 7.457867ms)
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.934071 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (1.241138599s) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.934246 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-gbrbj\" " with result "range_response_count:1 size:2314" took too long (962.431031ms) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.934690 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g5f58\" " with result "range_response_count:1 size:4259" took too long (1.21353715s) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.934993 W | etcdserver: request "header:<ID:14919139277666090265 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37621543 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (860.661631ms) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.957874 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (716.161463ms) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.989586 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jzf6k\" " with result "range_response_count:1 size:4261" took too long (610.263354ms) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.989932 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (643.69331ms) to execute
Nov 10 23:45:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:22.990181 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-gbrbj\" " with result "range_response_count:1 size:2314" took too long (644.361826ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.160662 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-cf4t5.15d5f1a716d2744d\" " with result "range_response_count:1 size:590" took too long (163.672821ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.160906 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (163.435378ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.161077 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (145.412176ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.161270 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4594" took too long (164.036456ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.161348 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (160.971339ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.161747 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g5f58\" " with result "range_response_count:1 size:4139" took too long (140.695314ms) to execute
Nov 10 23:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:45:23.161977 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (146.121403ms) to execute
Nov 10 23:47:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:16.160660 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4594" took too long (120.804794ms) to execute
Nov 10 23:47:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:17.556814 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000545-0000000002791f74.wal is created
Nov 10 23:47:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:17.785591 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000540-0000000002769082.wal successfully
Nov 10 23:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:20.281448 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/coredns\" " with result "range_response_count:1 size:575" took too long (206.154546ms) to execute
Nov 10 23:47:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:26.826668 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (360.366335ms) to execute
Nov 10 23:47:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:26.862208 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (334.808337ms) to execute
Nov 10 23:47:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:30.728532 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (262.84896ms) to execute
Nov 10 23:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:31.895196 W | etcdserver: request "header:<ID:14919139277666091762 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-v28cq.15d5f1ee8f9b85f7\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-v28cq.15d5f1ee8f9b85f7\" value_size:389 lease:5695767240811315936 >> failure:<>>" with result "size:20" took too long (126.010579ms) to execute
Nov 10 23:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:31.895346 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (141.567119ms) to execute
Nov 10 23:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:31.895409 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.771522ms) to execute
Nov 10 23:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:31.895555 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (137.209221ms) to execute
Nov 10 23:47:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:47:31.895729 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (137.167545ms) to execute
Nov 10 23:48:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:48:56.527483 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (204.817339ms) to execute
Nov 10 23:49:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:49:07.978946 N | compactor: Starting auto-compaction at revision 37543345
Nov 10 23:49:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:49:07.979254 N | compactor: Finished auto-compaction at revision 37543345
Nov 10 23:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:50:21.525394 I | mvcc: store.index: compact 37621566
Nov 10 23:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:50:21.534626 I | mvcc: finished scheduled compaction at 37621566 (took 6.832735ms)
Nov 10 23:50:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:50:28.266606 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (137.532823ms) to execute
Nov 10 23:50:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:50:36.918446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (116.200295ms) to execute
Nov 10 23:50:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:50:58.141804 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (386.088793ms) to execute
Nov 10 23:51:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:51:13.706729 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (227.981088ms) to execute
Nov 10 23:51:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:51:27.093990 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (129.877391ms) to execute
Nov 10 23:51:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:51:45.702309 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (130.66008ms) to execute
Nov 10 23:51:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:51:45.708824 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-gbrbj\" " with result "range_response_count:1 size:2314" took too long (119.205183ms) to execute
Nov 10 23:51:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:51:45.708927 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (114.408041ms) to execute
Nov 10 23:53:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:01.617932 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (281.894631ms) to execute
Nov 10 23:53:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:07.166915 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4594" took too long (195.059432ms) to execute
Nov 10 23:53:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:32.377986 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (146.951831ms) to execute
Nov 10 23:53:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:32.378236 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (367.215843ms) to execute
Nov 10 23:53:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:32.750518 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (362.553706ms) to execute
Nov 10 23:53:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:33.141254 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (143.464271ms) to execute
Nov 10 23:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:34.212535 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (400.846671ms) to execute
Nov 10 23:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:34.214938 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (387.607136ms) to execute
Nov 10 23:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:34.215274 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (336.759484ms) to execute
Nov 10 23:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:53:34.215290 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (240.424854ms) to execute
Nov 10 23:55:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:55:21.552756 I | mvcc: store.index: compact 37622315
Nov 10 23:55:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:55:21.562644 I | mvcc: finished scheduled compaction at 37622315 (took 8.161513ms)
Nov 10 23:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:55:32.537758 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5f242a218d824\" " with result "range_response_count:1 size:485" took too long (164.99464ms) to execute
Nov 10 23:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:55:32.572786 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (184.54204ms) to execute
Nov 10 23:55:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:55:32.573030 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-t49g4\" " with result "range_response_count:1 size:2946" took too long (137.632731ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.575730 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5f242a218d824\" " with result "range_response_count:1 size:485" took too long (137.133346ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.602226 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7stcl\" " with result "range_response_count:1 size:2946" took too long (142.281179ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.602339 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-57sxx\" " with result "range_response_count:1 size:2946" took too long (163.380724ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.812736 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (168.656602ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.812818 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (167.807966ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.813185 W | etcdserver: request "header:<ID:14919139277666098462 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d5f242a218d824\" mod_revision:37623370 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d5f242a218d824\" value_size:386 lease:5695767240811322610 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d5f242a218d824\" > >>" with result "size:20" took too long (132.516631ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.813309 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (145.484649ms) to execute
Nov 10 23:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:33.813355 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5s6hk\" " with result "range_response_count:1 size:2946" took too long (106.918267ms) to execute
Nov 10 23:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:57:42.511815 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-57sxx\" " with result "range_response_count:1 size:4150" took too long (122.651725ms) to execute
Nov 10 23:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:58:03.933517 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (208.487765ms) to execute
Nov 10 23:58:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:58:03.933623 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (105.837505ms) to execute
Nov 10 23:58:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:58:09.832335 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (147.521618ms) to execute
Nov 10 23:58:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:58:54.425971 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (150.596724ms) to execute
Nov 10 23:59:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 23:59:19.488025 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (134.358739ms) to execute
Nov 11 00:00:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 00:00:21.568916 I | mvcc: store.index: compact 37623002
Nov 11 00:00:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 00:00:21.576006 I | mvcc: finished scheduled compaction at 37623002 (took 5.487618ms)
