-- Logs begin at Sun 2019-10-27 23:59:01 UTC, end at Fri 2019-11-01 07:08:27 UTC. --
Nov 01 06:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:26.570690 I | mvcc: store.index: compact 35351480
Nov 01 06:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:26.580052 I | mvcc: finished scheduled compaction at 35351480 (took 6.052462ms)
Nov 01 06:46:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:30.541927 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (139.020208ms) to execute
Nov 01 06:46:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:30.542248 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (258.312702ms) to execute
Nov 01 06:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:33.732556 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (350.093501ms) to execute
Nov 01 06:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:33.732672 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (558.063175ms) to execute
Nov 01 06:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:46:54.869850 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (207.176167ms) to execute
Nov 01 06:47:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:47:11.213024 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (104.754838ms) to execute
Nov 01 06:47:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:47:35.289827 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (201.186509ms) to execute
Nov 01 06:47:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:47:42.035892 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (709.37131ms) to execute
Nov 01 06:47:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:47:42.036101 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (716.060403ms) to execute
Nov 01 06:48:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:06.899711 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (141.419303ms) to execute
Nov 01 06:48:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:06.900001 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (434.687312ms) to execute
Nov 01 06:48:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:09.365432 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (372.727955ms) to execute
Nov 01 06:48:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:09.365870 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (451.648311ms) to execute
Nov 01 06:48:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:09.365937 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lw5dc\" " with result "range_response_count:1 size:1743" took too long (251.197795ms) to execute
Nov 01 06:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:28.602868 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (169.890825ms) to execute
Nov 01 06:48:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:28.957678 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (101.205492ms) to execute
Nov 01 06:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:54.131491 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (837.477294ms) to execute
Nov 01 06:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:54.131563 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (477.455011ms) to execute
Nov 01 06:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:54.131592 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (751.886565ms) to execute
Nov 01 06:48:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:54.131797 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (837.583561ms) to execute
Nov 01 06:48:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:58.595384 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (180.762102ms) to execute
Nov 01 06:48:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:48:58.933305 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (117.887913ms) to execute
Nov 01 06:49:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:49:03.346943 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15d2f71a860e9180\" " with result "range_response_count:1 size:498" took too long (114.169799ms) to execute
Nov 01 06:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:49:05.296339 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (231.34065ms) to execute
Nov 01 06:49:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:49:09.411124 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lw5dc\" " with result "range_response_count:1 size:1743" took too long (295.836555ms) to execute
Nov 01 06:49:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:49:09.411221 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (265.417149ms) to execute
