-- Logs begin at Fri 2019-11-08 03:53:52 UTC, end at Sun 2019-11-10 16:24:01 UTC. --
Nov 10 16:02:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:41.280456 W | wal: sync duration of 2.571973143s, expected less than 1s
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.303039 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (4.549643227s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.303550 W | etcdserver: request "header:<ID:14919139277665791886 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37544751 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (2.0226704s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.661478 W | wal: sync duration of 2.380827639s, expected less than 1s
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.666509 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (2.401647773s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.666552 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (4.066492951s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.666796 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (3.74413876s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.666813 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (2.916594736s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.666983 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (2.929617814s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.667060 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (3.470602536s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.667336 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (3.169963253s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.667594 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (4.904334578s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.667869 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4594" took too long (3.841308601s) to execute
Nov 10 16:02:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:43.667985 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (4.029581381s) to execute
Nov 10 16:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:44.160214 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (2.571648197s) to execute
Nov 10 16:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:44.160281 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.326255273s) to execute
Nov 10 16:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:44.160546 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.450262382s) to execute
Nov 10 16:02:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 16:02:44.160598 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.751026216s) to execute
