-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Wed 2019-12-18 22:27:37 UTC. --
Dec 18 22:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:05:23.956621 I | mvcc: store.index: compact 44892458
Dec 18 22:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:05:23.962728 I | mvcc: finished scheduled compaction at 44892458 (took 4.573999ms)
Dec 18 22:08:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:08:42.287118 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (143.542192ms) to execute
Dec 18 22:09:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:04.286578 W | etcdserver: request "header:<ID:14919139277706923101 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44894665 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (132.102688ms) to execute
Dec 18 22:09:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:23.989159 W | etcdserver: request "header:<ID:14919139277706923275 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44894714 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (230.969934ms) to execute
Dec 18 22:09:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:29.191439 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:3459" took too long (722.978633ms) to execute
Dec 18 22:09:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:29.191591 W | etcdserver: failed to revoke 4f0b6e20ca4c8c94 ("lease not found")
Dec 18 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:54.496401 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (735.389319ms) to execute
Dec 18 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:54.501541 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c6zxx\" " with result "range_response_count:1 size:1854" took too long (675.780733ms) to execute
Dec 18 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:54.501588 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (105.19551ms) to execute
Dec 18 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:54.501772 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (394.83061ms) to execute
Dec 18 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 22:09:54.501941 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (221.382314ms) to execute
