-- Logs begin at Thu 2019-10-31 22:09:41 UTC, end at Sun 2019-11-03 16:10:24 UTC. --
Nov 03 15:52:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:03.042408 I | mvcc: store.index: compact 35890710
Nov 03 15:52:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:03.054170 I | mvcc: finished scheduled compaction at 35890710 (took 8.965797ms)
Nov 03 15:52:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:03.504048 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (252.309393ms) to execute
Nov 03 15:52:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:03.504492 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (123.526748ms) to execute
Nov 03 15:52:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:34.485846 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-skwsn\" " with result "range_response_count:1 size:1121" took too long (155.405102ms) to execute
Nov 03 15:52:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:34.486007 W | etcdserver: request "header:<ID:14919139277659314760 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-8j2b7.15d3b1f3840ed807\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-8j2b7.15d3b1f3840ed807\" value_size:392 lease:5695767240804538654 >> failure:<>>" with result "size:20" took too long (133.171257ms) to execute
Nov 03 15:52:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:34.505491 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9wgwr\" " with result "range_response_count:1 size:1121" took too long (160.159117ms) to execute
Nov 03 15:52:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:52:34.505583 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8j2b7\" " with result "range_response_count:1 size:1121" took too long (160.303429ms) to execute
Nov 03 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:53:34.474121 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3b1f38d96506a\" " with result "range_response_count:1 size:485" took too long (111.976917ms) to execute
Nov 03 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:53:34.700778 W | etcdserver: request "header:<ID:14919139277659315408 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3b1f38d96506a\" mod_revision:35892448 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3b1f38d96506a\" value_size:386 lease:5695767240804539383 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3b1f38d96506a\" > >>" with result "size:20" took too long (120.666787ms) to execute
Nov 03 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:53:34.701448 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (135.452885ms) to execute
Nov 03 15:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:54:34.668255 W | etcdserver: request "header:<ID:14919139277659316029 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jxn58\" mod_revision:35892647 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jxn58\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jxn58\" > >>" with result "size:20" took too long (119.890676ms) to execute
Nov 03 15:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:54:34.902090 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3b1f38d96506a\" " with result "range_response_count:1 size:485" took too long (133.265914ms) to execute
Nov 03 15:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:54:34.933390 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (162.061322ms) to execute
Nov 03 15:54:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:54:34.934359 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7bnvt\" " with result "range_response_count:1 size:1121" took too long (142.600497ms) to execute
Nov 03 15:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:57:03.067336 I | mvcc: store.index: compact 35892109
Nov 03 15:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:57:03.076995 I | mvcc: finished scheduled compaction at 35892109 (took 7.270118ms)
Nov 03 15:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 15:57:03.458459 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (229.332904ms) to execute
Nov 03 16:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:02:03.080548 I | mvcc: store.index: compact 35893073
Nov 03 16:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:02:03.087348 I | mvcc: finished scheduled compaction at 35893073 (took 5.307468ms)
Nov 03 16:02:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:02:03.374827 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jxn58\" " with result "range_response_count:1 size:1731" took too long (139.656222ms) to execute
Nov 03 16:07:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:07:03.094382 I | mvcc: store.index: compact 35893725
Nov 03 16:07:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 16:07:03.101925 I | mvcc: finished scheduled compaction at 35893725 (took 5.505168ms)
