-- Logs begin at Sun 2019-11-03 00:17:30 UTC, end at Wed 2019-11-06 08:29:51 UTC. --
Nov 06 08:07:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:07:59.898847 I | mvcc: store.index: compact 36506608
Nov 06 08:07:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:07:59.905494 I | mvcc: finished scheduled compaction at 36506608 (took 5.126633ms)
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.547531 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (564.257685ms) to execute
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.547652 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (552.940995ms) to execute
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.548076 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (542.957324ms) to execute
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.548375 W | etcdserver: request "header:<ID:14919139277661665140 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:36507505 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (539.3404ms) to execute
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.571144 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (451.589456ms) to execute
Nov 06 08:08:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:00.602607 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (366.883764ms) to execute
Nov 06 08:08:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:27.769170 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (337.676576ms) to execute
Nov 06 08:08:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:08:27.769328 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (122.244498ms) to execute
Nov 06 08:09:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 08:09:39.575520 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (525.685466ms) to execute
