-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 07:23:21 UTC. --
Nov 05 07:02:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:02:48.443217 I | mvcc: store.index: compact 36256299
Nov 05 07:02:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:02:48.447502 I | mvcc: finished scheduled compaction at 36256299 (took 3.304068ms)
Nov 05 07:03:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:03:36.726110 W | etcdserver: request "header:<ID:14919139277660702785 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36257127 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (129.216661ms) to execute
Nov 05 07:03:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:03:36.726355 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (139.144712ms) to execute
Nov 05 07:03:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:03:36.741704 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4xszt\" " with result "range_response_count:1 size:1118" took too long (146.18872ms) to execute
Nov 05 07:05:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:05:36.743034 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cgfdz\" " with result "range_response_count:1 size:1121" took too long (104.396265ms) to execute
Nov 05 07:06:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:36.862669 W | etcdserver: request "header:<ID:14919139277660704487 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-rbkmc\" mod_revision:36257650 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-rbkmc\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-rbkmc\" > >>" with result "size:20" took too long (125.999963ms) to execute
Nov 05 07:06:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:36.864368 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2w5v7\" " with result "range_response_count:1 size:1118" took too long (129.411339ms) to execute
Nov 05 07:06:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:36.878209 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4326911cc96c8\" " with result "range_response_count:1 size:485" took too long (142.784316ms) to execute
Nov 05 07:06:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:36.878449 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jq6mv\" " with result "range_response_count:1 size:1121" took too long (125.168684ms) to execute
Nov 05 07:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:37.092737 W | etcdserver: request "header:<ID:14919139277660704512 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4326911cc96c8\" mod_revision:36257667 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4326911cc96c8\" value_size:386 lease:5695767240805928433 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d4326911cc96c8\" > >>" with result "size:20" took too long (125.1638ms) to execute
Nov 05 07:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:37.093926 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lzb2l\" " with result "range_response_count:1 size:1118" took too long (140.771204ms) to execute
Nov 05 07:06:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:06:37.107795 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (100.649854ms) to execute
Nov 05 07:07:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 07:07:37.063919 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (143.559842ms) to execute
