-- Logs begin at Sat 2019-11-02 13:28:51 UTC, end at Wed 2019-11-06 02:09:34 UTC. --
Nov 06 01:47:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:47:56.960786 I | mvcc: store.index: compact 36440665
Nov 06 01:47:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:47:56.970830 I | mvcc: finished scheduled compaction at 36440665 (took 7.720917ms)
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.150966 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (727.456999ms) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.151109 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (554.15152ms) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.151415 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (267.282032ms) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.151614 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.771412446s) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.151823 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.392798701s) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.152001 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.339520322s) to execute
Nov 06 01:49:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:49:05.152102 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hfhvg\" " with result "range_response_count:1 size:1743" took too long (629.065365ms) to execute
Nov 06 01:51:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:51:32.078353 W | etcdserver: request "header:<ID:14919139277661410970 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:36442858 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (104.25982ms) to execute
Nov 06 01:51:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 01:51:54.569565 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (136.510567ms) to execute
