-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Tue 2019-12-17 23:21:03 UTC. --
Dec 17 22:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:58:34.166145 W | etcdserver: request "header:<ID:14919139277705992000 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-98lfq.15e14abb91136b60\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-98lfq.15e14abb91136b60\" value_size:392 lease:5695767240851216176 >> failure:<>>" with result "size:20" took too long (133.311475ms) to execute
Dec 17 22:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:58:34.167566 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (152.880955ms) to execute
Dec 17 22:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:58:34.185184 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (170.07251ms) to execute
Dec 17 22:59:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:33.967313 I | etcdserver: start to snapshot (applied: 49236061, lastsnap: 49226060)
Dec 17 22:59:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:34.066008 I | etcdserver: saved snapshot at index 49236061
Dec 17 22:59:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:34.067207 I | etcdserver: compacted raft log at 49231061
Dec 17 22:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:42.315084 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002ee8508.snap successfully
Dec 17 22:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:50.073645 I | mvcc: store.index: compact 44658397
Dec 17 22:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:50.080259 I | mvcc: finished scheduled compaction at 44658397 (took 5.245863ms)
Dec 17 22:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 22:59:50.269974 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (154.533761ms) to execute
Dec 17 23:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:04:34.739799 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5lxgd\" " with result "range_response_count:1 size:1121" took too long (153.02063ms) to execute
Dec 17 23:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:04:34.739884 W | etcdserver: request "header:<ID:14919139277705995319 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-5lxgd.15e14b0f847e9378\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-5lxgd.15e14b0f847e9378\" value_size:392 lease:5695767240851219277 >> failure:<>>" with result "size:20" took too long (129.267448ms) to execute
