-- Logs begin at Fri 2019-11-08 22:50:13 UTC, end at Mon 2019-11-11 07:39:27 UTC. --
Nov 11 07:19:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:19:25.590114 W | etcdserver: request "header:<ID:14919139277666400478 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2wg8m.15d60a9775896fca\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2wg8m.15d60a9775896fca\" value_size:389 lease:5695767240811624530 >> failure:<>>" with result "size:20" took too long (132.71657ms) to execute
Nov 11 07:19:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:19:25.590836 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mfd6g\" " with result "range_response_count:1 size:1121" took too long (132.385501ms) to execute
Nov 11 07:19:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:19:25.595272 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2wg8m\" " with result "range_response_count:1 size:1118" took too long (131.499442ms) to execute
Nov 11 07:20:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:20:25.405360 I | mvcc: store.index: compact 37695571
Nov 11 07:20:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:20:25.413028 I | mvcc: finished scheduled compaction at 37695571 (took 5.800929ms)
Nov 11 07:22:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:38.848416 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (314.146879ms) to execute
Nov 11 07:22:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:43.208361 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-mfd6g.15d60a95fccca4b3\" " with result "range_response_count:1 size:468" took too long (142.991826ms) to execute
Nov 11 07:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:47.282644 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (581.238033ms) to execute
Nov 11 07:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:47.282823 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (565.902403ms) to execute
Nov 11 07:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:47.282928 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (377.206737ms) to execute
Nov 11 07:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:22:47.283051 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mfd6g\" " with result "range_response_count:1 size:1854" took too long (173.997053ms) to execute
Nov 11 07:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:24.574182 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (298.539915ms) to execute
Nov 11 07:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:24.574296 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (317.074542ms) to execute
Nov 11 07:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:25.750592 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2wg8m\" " with result "range_response_count:1 size:1851" took too long (345.823966ms) to execute
Nov 11 07:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:26.242630 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-fnrvb.15d60a92c8dfd78e\" " with result "range_response_count:1 size:592" took too long (199.993916ms) to execute
Nov 11 07:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:26.243214 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:20 size:10815" took too long (253.468906ms) to execute
Nov 11 07:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:26.243502 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:20 size:10815" took too long (253.76409ms) to execute
Nov 11 07:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:23:36.199331 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (143.391137ms) to execute
Nov 11 07:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:23.089254 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (100.951322ms) to execute
Nov 11 07:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:27.647786 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (253.725428ms) to execute
Nov 11 07:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:27.673313 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2wg8m.15d60aa1ed3f08e6\" " with result "range_response_count:1 size:588" took too long (176.554083ms) to execute
Nov 11 07:24:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:47.343278 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (140.513756ms) to execute
Nov 11 07:24:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:47.379647 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (146.93183ms) to execute
Nov 11 07:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:49.885405 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (496.735504ms) to execute
Nov 11 07:24:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:24:56.567792 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (643.653728ms) to execute
Nov 11 07:25:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 07:25:16.191292 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (117.183647ms) to execute
