-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 19:56:57 UTC. --
Dec 16 19:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:39:17.260422 I | mvcc: store.index: compact 44382422
Dec 16 19:39:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:39:17.268521 I | mvcc: finished scheduled compaction at 44382422 (took 6.08559ms)
Dec 16 19:40:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:40:17.317270 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (336.776953ms) to execute
Dec 16 19:42:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:42:39.864602 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5vjxt\" " with result "range_response_count:1 size:1853" took too long (157.234935ms) to execute
Dec 16 19:44:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:44:17.293791 I | mvcc: store.index: compact 44383213
Dec 16 19:44:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:44:17.298765 I | mvcc: finished scheduled compaction at 44383213 (took 4.09506ms)
Dec 16 19:47:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:47:36.041001 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (113.726039ms) to execute
Dec 16 19:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:47:59.578546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (280.983534ms) to execute
Dec 16 19:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:47:59.578755 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (345.800722ms) to execute
Dec 16 19:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:47:59.578828 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (446.436009ms) to execute
Dec 16 19:48:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:48:17.959810 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (175.795036ms) to execute
Dec 16 19:49:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:49:17.331468 I | mvcc: store.index: compact 44384007
Dec 16 19:49:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:49:17.338891 I | mvcc: finished scheduled compaction at 44384007 (took 6.359582ms)
Dec 16 19:49:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:49:51.062236 W | etcdserver: request "header:<ID:14919139277704900982 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44384709 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (276.361769ms) to execute
Dec 16 19:50:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:50:16.655317 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (179.123465ms) to execute
Dec 16 19:54:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:54:17.346325 I | mvcc: store.index: compact 44384660
Dec 16 19:54:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 19:54:17.353860 I | mvcc: finished scheduled compaction at 44384660 (took 6.172571ms)
