-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 03:27:23 UTC. --
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.120700 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/kubernetesenvs.config.istio.io\" " with result "range_response_count:1 size:2525" took too long (163.559749ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.120826 W | etcdserver: request "header:<ID:14919139277750919915 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/bypasses.config.istio.io\" mod_revision:53095911 > success:<request_delete_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/bypasses.config.istio.io\" > > failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/bypasses.config.istio.io\" > >>" with result "size:22" took too long (128.600694ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.120923 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds/\" range_end:\"/registry/config.istio.io/fluentds0\" " with result "range_response_count:0 size:7" took too long (145.64959ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.121022 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/deniers.config.istio.io\" " with result "range_response_count:1 size:2593" took too long (145.009571ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.121093 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/circonuses.config.istio.io\" " with result "range_response_count:1 size:2631" took too long (145.265722ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.375576 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers/\" range_end:\"/registry/config.istio.io/listcheckers0\" " with result "range_response_count:0 size:7" took too long (173.963187ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.379904 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/fluentds.config.istio.io\" " with result "range_response_count:1 size:2609" took too long (159.09038ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.380119 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (136.926443ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.380644 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/kubernetesenvs.config.istio.io\" " with result "range_response_count:1 size:2705" took too long (158.068295ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.629529 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/prometheuses.config.istio.io\" " with result "range_response_count:1 size:2483" took too long (167.43778ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.630159 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops/\" range_end:\"/registry/config.istio.io/noops0\" " with result "range_response_count:0 size:7" took too long (172.547689ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.632264 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/opas/\" range_end:\"/registry/config.istio.io/opas0\" " with result "range_response_count:0 size:7" took too long (153.928697ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.632644 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/memquotas.config.istio.io\" " with result "range_response_count:1 size:2625" took too long (153.819847ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.867743 W | etcdserver: request "header:<ID:14919139277750919977 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" mod_revision:53088411 > success:<request_put:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" value_size:2545 >> failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" > >>" with result "size:20" took too long (133.538823ms) to execute
Feb 01 03:04:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:19.867973 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/prometheuses.config.istio.io\" " with result "range_response_count:1 size:2663" took too long (147.717071ms) to execute
Feb 01 03:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:20.157105 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs/\" range_end:\"/registry/config.istio.io/rbacs0\" " with result "range_response_count:0 size:7" took too long (436.288972ms) to execute
Feb 01 03:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:20.157251 W | etcdserver: request "header:<ID:14919139277750919979 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" mod_revision:53095952 > success:<request_put:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" value_size:2501 >> failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/redisquotas.config.istio.io\" > >>" with result "size:20" took too long (110.222875ms) to execute
Feb 01 03:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 03:04:20.218860 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/signalfxs.config.istio.io\" " with result "range_response_count:1 size:2445" took too long (343.790496ms) to execute
