-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Wed 2019-12-18 02:12:04 UTC. --
Dec 18 01:49:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:49:51.184347 I | mvcc: store.index: compact 44684864
Dec 18 01:49:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:49:51.190968 I | mvcc: finished scheduled compaction at 44684864 (took 5.445379ms)
Dec 18 01:54:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:54:51.289850 I | mvcc: store.index: compact 44685591
Dec 18 01:54:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:54:51.291468 W | etcdserver: request "header:<ID:14919139277706098224 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44685591 > " with result "size:7" took too long (100.775721ms) to execute
Dec 18 01:54:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:54:51.298397 I | mvcc: finished scheduled compaction at 44685591 (took 6.379193ms)
Dec 18 01:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:57:20.271122 I | etcdserver: start to snapshot (applied: 49266064, lastsnap: 49256063)
Dec 18 01:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:57:20.343784 I | etcdserver: saved snapshot at index 49266064
Dec 18 01:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:57:20.344416 I | etcdserver: compacted raft log at 49261064
Dec 18 01:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:57:42.540746 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002eefa3b.snap successfully
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.409010 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (943.721809ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.409135 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (861.808407ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.409428 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5swr9.15e154844a32e04f\" " with result "range_response_count:0 size:7" took too long (599.43872ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.409682 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (552.680898ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.409866 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-k2j59\" " with result "range_response_count:1 size:2314" took too long (416.801212ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.410918 W | etcdserver: request "header:<ID:14919139277706101368 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:44687129 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (153.997636ms) to execute
Dec 18 01:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:20.411039 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (111.072701ms) to execute
Dec 18 01:59:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:51.305210 I | mvcc: store.index: compact 44686422
Dec 18 01:59:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 01:59:51.313314 I | mvcc: finished scheduled compaction at 44686422 (took 6.897456ms)
Dec 18 02:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:01:09.504429 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000062d-0000000002efc006.wal is created
Dec 18 02:01:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:01:12.563079 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000628-0000000002ed1f79.wal successfully
Dec 18 02:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:02:01.759345 W | etcdserver: request "header:<ID:14919139277706103221 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44687526 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (499.420004ms) to execute
Dec 18 02:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:02:01.759616 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (125.072263ms) to execute
Dec 18 02:02:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:02:38.667928 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-k2j59\" " with result "range_response_count:1 size:2314" took too long (310.861339ms) to execute
Dec 18 02:02:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:02:38.668235 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (164.250562ms) to execute
Dec 18 02:02:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:02:38.668431 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (269.312055ms) to execute
Dec 18 02:04:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:04:39.665985 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (149.436817ms) to execute
Dec 18 02:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:04:51.319654 I | mvcc: store.index: compact 44687223
Dec 18 02:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:04:51.327967 I | mvcc: finished scheduled compaction at 44687223 (took 6.98367ms)
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.333489 I | mvcc: store.index: compact 44687898
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.349937 I | mvcc: finished scheduled compaction at 44687898 (took 14.660028ms)
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.785405 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (221.908861ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.785462 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (221.074985ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.785501 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (337.130325ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.785811 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (220.816123ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.786194 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (221.244077ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.786435 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v2jlt\" " with result "range_response_count:1 size:4260" took too long (113.15861ms) to execute
Dec 18 02:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 02:09:51.786846 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (220.452868ms) to execute
