-- Logs begin at Mon 2019-12-16 01:01:21 UTC, end at Tue 2019-12-17 14:31:47 UTC. --
Dec 17 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:09:28.306825 I | mvcc: store.index: compact 44567978
Dec 17 14:09:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:09:28.312342 I | mvcc: finished scheduled compaction at 44567978 (took 3.809324ms)
Dec 17 14:10:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:10:40.893824 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (334.450041ms) to execute
Dec 17 14:11:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:12.214130 W | wal: sync duration of 1.060336606s, expected less than 1s
Dec 17 14:11:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:12.219284 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (965.108786ms) to execute
Dec 17 14:11:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:12.235095 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (363.22313ms) to execute
Dec 17 14:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:14.178097 W | wal: sync duration of 1.470067984s, expected less than 1s
Dec 17 14:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:14.180617 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (672.900339ms) to execute
Dec 17 14:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:14.182329 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (519.560832ms) to execute
Dec 17 14:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:14.183100 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (145.660453ms) to execute
Dec 17 14:11:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 14:11:14.183378 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (171.943449ms) to execute
