-- Logs begin at Sat 2020-02-01 01:29:37 UTC, end at Sun 2020-02-02 14:18:16 UTC. --
Feb 02 13:55:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:19.094657 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-cqq6q.15ef9a4ed6a87587\" " with result "range_response_count:1 size:569" took too long (143.943692ms) to execute
Feb 02 13:55:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:26.600947 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (102.851255ms) to execute
Feb 02 13:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:31.908191 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (127.556355ms) to execute
Feb 02 13:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:31.926245 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (101.770941ms) to execute
Feb 02 13:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:31.926464 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (142.374035ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.465400 W | wal: sync duration of 1.38532771s, expected less than 1s
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.479879 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (1.211796913s) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.493635 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-97jtk\" " with result "range_response_count:1 size:3367" took too long (102.078691ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.493698 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (106.566984ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.493759 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:1 size:3784" took too long (722.141888ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.493829 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (150.261948ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.494148 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (539.565136ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.494725 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (728.244273ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.746085 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (163.401768ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.746174 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway.15ef9a5a2eea831a\" " with result "range_response_count:1 size:557" took too long (153.563169ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.746553 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (153.712098ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.891714 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (135.079229ms) to execute
Feb 02 13:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:36.891802 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway.15ef9a5a2f91fe73\" " with result "range_response_count:1 size:593" took too long (136.408011ms) to execute
Feb 02 13:55:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:37.079613 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-policy.15ef9a5a478012e4\" " with result "range_response_count:1 size:535" took too long (166.888398ms) to execute
Feb 02 13:55:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:37.079750 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (159.047298ms) to execute
Feb 02 13:55:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:45.127002 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (100.917028ms) to execute
Feb 02 13:55:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:45.127217 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (100.802917ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.052973 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (116.373152ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.053264 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:36 size:25469" took too long (118.800274ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.053793 W | etcdserver: request "header:<ID:14919139277752283582 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jmsqc.15ef9a5e03fc8243\" mod_revision:53443674 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jmsqc.15ef9a5e03fc8243\" value_size:456 lease:5695767240897507276 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-jmsqc.15ef9a5e03fc8243\" > >>" with result "size:20" took too long (113.783868ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.314700 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (183.108544ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.345944 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (192.82716ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.346291 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (191.73895ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.346334 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fglzb\" " with result "range_response_count:1 size:2738" took too long (112.488203ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.346521 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (120.398738ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.346645 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (119.925943ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.347667 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (132.303162ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.348986 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (149.954462ms) to execute
