-- Logs begin at Sun 2019-11-10 13:31:09 UTC, end at Tue 2019-11-12 12:32:19 UTC. --
Nov 12 12:10:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:10:46.360445 I | mvcc: store.index: compact 37987882
Nov 12 12:10:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:10:46.367108 I | mvcc: finished scheduled compaction at 37987882 (took 5.340623ms)
Nov 12 12:10:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:10:46.611938 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (175.066035ms) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.120023 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.018856952s) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.124691 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kq4m4\" " with result "range_response_count:1 size:4030" took too long (986.869194ms) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.124858 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (136.138791ms) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.124985 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (651.720022ms) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.125354 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (259.665143ms) to execute
Nov 12 12:12:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:16.125779 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (522.335452ms) to execute
Nov 12 12:12:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:19.861738 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (147.105131ms) to execute
Nov 12 12:12:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 12:12:19.913311 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (198.170966ms) to execute
