-- Logs begin at Sat 2019-11-02 08:56:48 UTC, end at Tue 2019-11-05 12:23:51 UTC. --
Nov 05 12:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:02:50.392220 I | mvcc: store.index: compact 36305148
Nov 05 12:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:02:50.399719 I | mvcc: finished scheduled compaction at 36305148 (took 6.145534ms)
Nov 05 12:03:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:03:32.927433 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (132.374069ms) to execute
Nov 05 12:03:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:03:32.928111 W | etcdserver: request "header:<ID:14919139277660879896 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36305948 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (118.267409ms) to execute
Nov 05 12:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:04:33.312673 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (145.623903ms) to execute
Nov 05 12:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:04:33.312743 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (155.122613ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.489239 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xd8qt\" " with result "range_response_count:1 size:1121" took too long (155.676716ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.493130 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (157.83706ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.493714 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (113.599887ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.494074 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mxsqm\" " with result "range_response_count:1 size:1121" took too long (139.552147ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.494395 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tsl5n\" " with result "range_response_count:1 size:1118" took too long (142.214309ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.494745 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jvjz7\" " with result "range_response_count:1 size:1121" took too long (146.016819ms) to execute
Nov 05 12:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 12:05:33.495052 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d442ab3ea1aab9\" " with result "range_response_count:1 size:485" took too long (159.212968ms) to execute
