-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 15:00:48 UTC. --
Nov 08 14:39:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:03.667501 I | mvcc: store.index: compact 37056693
Nov 08 14:39:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:03.677236 I | mvcc: finished scheduled compaction at 37056693 (took 7.826865ms)
Nov 08 14:39:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:10.603097 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/\" range_end:\"/registry/secrets/kube-system0\" limit:500 " with result "range_response_count:90 size:284591" took too long (344.012862ms) to execute
Nov 08 14:39:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:10.603410 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (160.988488ms) to execute
Nov 08 14:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:12.730374 W | etcdserver: request "header:<ID:14919139277663826162 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/prometheus-operator-kube-controller-manager\" mod_revision:37053846 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/prometheus-operator-kube-controller-manager\" value_size:521 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/prometheus-operator-kube-controller-manager\" > >>" with result "size:20" took too long (101.171731ms) to execute
Nov 08 14:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:12.731071 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-telemetry\" " with result "range_response_count:1 size:546" took too long (118.606611ms) to execute
Nov 08 14:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:12.731236 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (110.870765ms) to execute
Nov 08 14:39:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:39:12.731358 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/jaeger-collector\" " with result "range_response_count:1 size:539" took too long (110.11781ms) to execute
Nov 08 14:44:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:44:03.742499 I | mvcc: store.index: compact 37057448
Nov 08 14:44:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:44:03.751643 I | mvcc: finished scheduled compaction at 37057448 (took 6.925901ms)
Nov 08 14:44:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:44:04.063181 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (160.912754ms) to execute
Nov 08 14:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:46:15.022749 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (182.937528ms) to execute
Nov 08 14:46:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 14:46:28.939504 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8vlns\" " with result "range_response_count:1 size:4259" took too long (318.304281ms) to execute
