-- Logs begin at Sun 2019-10-27 23:59:01 UTC, end at Fri 2019-11-01 16:14:52 UTC. --
Nov 01 15:56:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:56:34.130443 I | mvcc: store.index: compact 35444652
Nov 01 15:56:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:56:34.135507 I | mvcc: finished scheduled compaction at 35444652 (took 3.938242ms)
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.357811 W | etcdserver: request "header:<ID:14919139277657433807 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-bmrvb\" mod_revision:35445759 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-bmrvb\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-bmrvb\" > >>" with result "size:20" took too long (138.413232ms) to execute
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.359734 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8n6l4\" " with result "range_response_count:1 size:1121" took too long (156.15672ms) to execute
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.372146 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-42mwf\" " with result "range_response_count:1 size:1121" took too long (165.994722ms) to execute
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.372470 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jgd5t\" " with result "range_response_count:1 size:1121" took too long (153.048778ms) to execute
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.372522 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (136.772886ms) to execute
Nov 01 15:57:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:57:39.372690 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lsbsj\" " with result "range_response_count:1 size:1121" took too long (166.124744ms) to execute
Nov 01 15:59:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 15:59:20.643517 W | etcdserver: request "header:<ID:14919139277657434910 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35446134 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (279.680076ms) to execute
Nov 01 16:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 16:00:39.546401 W | etcdserver: request "header:<ID:14919139277657435713 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-5fhq6\" mod_revision:35446432 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-5fhq6\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-5fhq6\" > >>" with result "size:20" took too long (122.295673ms) to execute
Nov 01 16:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 16:00:39.550383 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3151166ad9e4c\" " with result "range_response_count:1 size:485" took too long (145.583968ms) to execute
Nov 01 16:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 16:00:39.550958 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xjj8x\" " with result "range_response_count:1 size:1118" took too long (135.9311ms) to execute
Nov 01 16:01:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 16:01:34.142091 I | mvcc: store.index: compact 35445558
