-- Logs begin at Sun 2019-11-10 13:31:09 UTC, end at Tue 2019-11-12 13:22:47 UTC. --
Nov 12 13:00:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:00:46.583598 I | mvcc: store.index: compact 37996532
Nov 12 13:00:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:00:46.587933 I | mvcc: finished scheduled compaction at 37996532 (took 3.288025ms)
Nov 12 13:01:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:01:53.789012 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (431.789466ms) to execute
Nov 12 13:01:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:01:53.789223 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (442.847831ms) to execute
Nov 12 13:02:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:21.793525 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (153.49127ms) to execute
Nov 12 13:02:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:21.833126 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (186.196742ms) to execute
Nov 12 13:02:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:21.833326 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (139.058711ms) to execute
Nov 12 13:02:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:21.833384 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fqzvb\" " with result "range_response_count:1 size:2738" took too long (137.537473ms) to execute
Nov 12 13:02:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:22.028809 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (133.467951ms) to execute
Nov 12 13:02:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:22.029085 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (131.705418ms) to execute
Nov 12 13:02:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 13:02:22.029338 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n5xcf\" " with result "range_response_count:1 size:2738" took too long (122.80025ms) to execute
