-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Tue 2019-12-17 23:45:25 UTC. --
Dec 17 23:24:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:24:50.183036 I | mvcc: store.index: compact 44661928
Dec 17 23:24:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:24:50.189440 I | mvcc: finished scheduled compaction at 44661928 (took 4.926617ms)
Dec 17 23:24:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:24:50.344255 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (130.827784ms) to execute
Dec 17 23:29:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:29:50.200552 I | mvcc: store.index: compact 44662634
Dec 17 23:29:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:29:50.205549 I | mvcc: finished scheduled compaction at 44662634 (took 3.821135ms)
Dec 17 23:30:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:30:41.295296 W | wal: sync duration of 1.311964922s, expected less than 1s
Dec 17 23:30:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:30:41.303230 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (267.270289ms) to execute
Dec 17 23:30:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:30:41.303257 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.261635809s) to execute
Dec 17 23:30:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:30:41.303304 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (871.022181ms) to execute
Dec 17 23:31:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:31:44.875745 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (138.232089ms) to execute
Dec 17 23:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:33:50.513868 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (101.354039ms) to execute
Dec 17 23:34:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:26.567516 W | wal: sync duration of 1.876167788s, expected less than 1s
Dec 17 23:34:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:26.574546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (1.573788893s) to execute
Dec 17 23:34:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:26.582127 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.286579106s) to execute
Dec 17 23:34:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:26.582468 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (151.194093ms) to execute
Dec 17 23:34:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:26.582725 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (435.096348ms) to execute
Dec 17 23:34:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:50.215182 I | mvcc: store.index: compact 44663387
Dec 17 23:34:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:34:50.223578 I | mvcc: finished scheduled compaction at 44663387 (took 6.549508ms)
Dec 17 23:35:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:35:35.197749 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (118.808657ms) to execute
Dec 17 23:39:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:39:50.231944 I | mvcc: store.index: compact 44664095
Dec 17 23:39:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 23:39:50.237700 I | mvcc: finished scheduled compaction at 44664095 (took 4.181844ms)
