-- Logs begin at Sun 2019-11-10 04:23:24 UTC, end at Tue 2019-11-12 12:06:33 UTC. --
Nov 12 11:45:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:45:46.178509 I | mvcc: store.index: compact 37983324
Nov 12 11:45:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:45:46.183943 I | mvcc: finished scheduled compaction at 37983324 (took 4.103132ms)
Nov 12 11:49:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:11.970143 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (119.861247ms) to execute
Nov 12 11:49:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:11.970438 W | etcdserver: request "header:<ID:14919139277667527849 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-b2z7v.15d667e4b78ff664\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-b2z7v.15d667e4b78ff664\" value_size:392 lease:5695767240812752018 >> failure:<>>" with result "size:20" took too long (118.694484ms) to execute
Nov 12 11:49:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:11.970680 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (120.419877ms) to execute
Nov 12 11:49:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:11.970777 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b2z7v\" " with result "range_response_count:1 size:1121" took too long (112.634526ms) to execute
Nov 12 11:49:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:57.330711 N | compactor: Starting auto-compaction at revision 37903712
Nov 12 11:49:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:49:57.331313 N | compactor: Finished auto-compaction at revision 37903712
Nov 12 11:50:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:50:46.244964 I | mvcc: store.index: compact 37984049
Nov 12 11:50:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:50:46.256764 I | mvcc: finished scheduled compaction at 37984049 (took 8.913345ms)
Nov 12 11:51:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:51:56.792505 I | etcdserver: start to snapshot (applied: 41885145, lastsnap: 41875144)
Nov 12 11:51:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:51:56.912360 I | etcdserver: saved snapshot at index 41885145
Nov 12 11:51:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:51:56.913243 I | etcdserver: compacted raft log at 41880145
Nov 12 11:52:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:52:18.620326 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000027e5a84.snap successfully
Nov 12 11:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:54:01.678897 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (223.006689ms) to execute
Nov 12 11:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:54:01.679104 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (194.266284ms) to execute
Nov 12 11:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:55:46.319092 I | mvcc: store.index: compact 37984963
Nov 12 11:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:55:46.327025 I | mvcc: finished scheduled compaction at 37984963 (took 6.321688ms)
Nov 12 11:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:57:27.625525 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1898" took too long (118.125993ms) to execute
Nov 12 11:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:57:33.354286 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (539.972588ms) to execute
Nov 12 11:57:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 11:57:33.387979 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (131.019753ms) to execute
