-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 10:01:58 UTC. --
Dec 19 09:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:30.580349 W | etcdserver: request "header:<ID:14919139277707389172 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45012143 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (113.008682ms) to execute
Dec 19 09:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:30.787914 W | etcdserver: request "header:<ID:14919139277707389203 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45012177 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (105.56785ms) to execute
Dec 19 09:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:30.791963 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vzr4d\" " with result "range_response_count:1 size:1121" took too long (109.035991ms) to execute
Dec 19 09:39:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:32.806791 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tgdd2\" " with result "range_response_count:1 size:1502" took too long (158.307848ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.394354 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (297.476784ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.394620 W | etcdserver: request "header:<ID:14919139277707389249 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:45012158 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4221 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (280.292572ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.394908 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (300.941581ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.640446 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (240.722186ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.640651 W | etcdserver: request "header:<ID:14919139277707389251 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45012161 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (119.43225ms) to execute
Dec 19 09:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:35.643606 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (243.528851ms) to execute
Dec 19 09:39:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:39:36.572582 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (271.943946ms) to execute
