-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 19:06:18 UTC. --
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.578436 W | etcdserver: request "header:<ID:14919139277663989712 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:37094193 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (128.856405ms) to execute
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.579298 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:675" took too long (130.15113ms) to execute
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.598152 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (136.281327ms) to execute
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.840182 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-r4z5l\" " with result "range_response_count:1 size:2738" took too long (165.029726ms) to execute
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.879489 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (195.671027ms) to execute
Nov 08 18:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:46:15.879603 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (196.619676ms) to execute
Nov 08 18:47:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:47:15.668238 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-8dpnf\" " with result "range_response_count:1 size:2738" took too long (167.741709ms) to execute
Nov 08 18:47:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:47:15.668801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:991" took too long (178.400617ms) to execute
Nov 08 18:47:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:47:15.694971 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (186.429975ms) to execute
Nov 08 18:47:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:47:15.695116 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (187.08638ms) to execute
Nov 08 18:48:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 18:48:36.742268 N | compactor: Starting auto-compaction at revision 37015423
