-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Wed 2019-12-18 20:18:25 UTC. --
Dec 18 19:55:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:55:23.224589 I | mvcc: store.index: compact 44873062
Dec 18 19:55:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:55:23.231088 I | mvcc: finished scheduled compaction at 44873062 (took 4.975888ms)
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.572928 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (170.351799ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.573070 W | etcdserver: request "header:<ID:14919139277706832820 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:44873988 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (133.757052ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.573184 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-69mm8\" " with result "range_response_count:1 size:3128" took too long (156.972717ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.587544 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (160.750638ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.587796 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (163.620013ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.591793 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (142.765084ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.591950 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (134.653266ms) to execute
Dec 18 19:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:21.592518 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (131.245297ms) to execute
Dec 18 19:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:36.493686 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (143.011543ms) to execute
Dec 18 19:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:36.496437 W | etcdserver: request "header:<ID:14919139277706833054 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:44873759 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (130.957044ms) to execute
Dec 18 19:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:36.732035 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (156.302824ms) to execute
Dec 18 19:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:36.732309 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (172.412553ms) to execute
Dec 18 19:57:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 19:57:36.732687 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-69mm8\" " with result "range_response_count:1 size:3080" took too long (178.026706ms) to execute
Dec 18 20:00:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:01.896420 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (140.943867ms) to execute
Dec 18 20:00:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:01.900480 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (129.490329ms) to execute
Dec 18 20:00:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:01.900778 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8cgzx\" " with result "range_response_count:1 size:2946" took too long (108.170559ms) to execute
Dec 18 20:00:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:01.901028 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (129.926154ms) to execute
Dec 18 20:00:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:01.901233 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (130.140545ms) to execute
Dec 18 20:00:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:20.157431 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (145.018777ms) to execute
Dec 18 20:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:23.242284 I | mvcc: store.index: compact 44873727
Dec 18 20:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:23.249116 I | mvcc: finished scheduled compaction at 44873727 (took 5.285362ms)
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.545666 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (176.525082ms) to execute
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.545716 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (1.529690001s) to execute
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.545734 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (1.017058847s) to execute
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.545959 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (1.442061335s) to execute
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.546028 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.89273473s) to execute
Dec 18 20:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:00:56.546294 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.203131906s) to execute
Dec 18 20:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:01:13.947288 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (101.502497ms) to execute
Dec 18 20:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:01:13.947361 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (193.132655ms) to execute
Dec 18 20:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:01:13.947631 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (244.727135ms) to execute
Dec 18 20:01:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:01:13.947920 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (221.325666ms) to execute
Dec 18 20:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:05:23.285718 I | mvcc: store.index: compact 44874490
Dec 18 20:05:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:05:23.291780 I | mvcc: finished scheduled compaction at 44874490 (took 4.82839ms)
Dec 18 20:07:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:07:02.773241 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (179.952939ms) to execute
Dec 18 20:10:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:10:23.393925 I | mvcc: store.index: compact 44875205
Dec 18 20:10:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:10:23.400913 I | mvcc: finished scheduled compaction at 44875205 (took 5.776452ms)
Dec 18 20:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:13:13.244795 N | compactor: Starting auto-compaction at revision 44791867
Dec 18 20:13:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:13:13.245463 N | compactor: Finished auto-compaction at revision 44791867
Dec 18 20:14:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:14:18.690825 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.41934ms) to execute
Dec 18 20:14:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 20:14:18.691068 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (197.365008ms) to execute
