-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 06:17:18 UTC. --
Nov 01 05:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 05:56:26.246239 I | mvcc: store.index: compact 35340617
Nov 01 05:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 05:56:26.254020 I | mvcc: finished scheduled compaction at 35340617 (took 5.602725ms)
Nov 01 06:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:01:26.267443 I | mvcc: store.index: compact 35342221
Nov 01 06:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:01:26.277126 I | mvcc: finished scheduled compaction at 35342221 (took 7.903751ms)
Nov 01 06:02:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:02:40.438243 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xm4g6\" " with result "range_response_count:1 size:1121" took too long (159.014381ms) to execute
Nov 01 06:02:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:02:57.835621 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.356037ms) to execute
Nov 01 06:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:06:26.279403 I | mvcc: store.index: compact 35343296
Nov 01 06:06:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:06:26.288292 I | mvcc: finished scheduled compaction at 35343296 (took 7.732509ms)
Nov 01 06:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:07:40.691287 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f7n2f\" " with result "range_response_count:1 size:1121" took too long (105.02078ms) to execute
Nov 01 06:09:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:09:40.947624 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m2np9\" " with result "range_response_count:1 size:1118" took too long (152.215595ms) to execute
Nov 01 06:09:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 06:09:40.947722 W | etcdserver: request "header:<ID:14919139277657052062 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-qw9dj.15d2f4fb782b29fe\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-qw9dj.15d2f4fb782b29fe\" value_size:392 lease:5695767240802275742 >> failure:<>>" with result "size:20" took too long (133.518802ms) to execute
