-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 12:12:21 UTC. --
Nov 11 11:50:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:50:28.657071 I | mvcc: store.index: compact 37739496
Nov 11 11:50:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:50:28.669859 I | mvcc: finished scheduled compaction at 37739496 (took 7.677957ms)
Nov 11 11:52:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:52:22.053447 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zlnlq\" " with result "range_response_count:1 size:1121" took too long (152.146173ms) to execute
Nov 11 11:52:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:52:22.053548 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (153.710064ms) to execute
Nov 11 11:52:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:52:22.053748 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5s5m6\" " with result "range_response_count:1 size:1121" took too long (144.659701ms) to execute
Nov 11 11:53:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:53:22.174536 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p2mhn\" " with result "range_response_count:1 size:1121" took too long (146.475584ms) to execute
Nov 11 11:53:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:53:22.206022 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d6198a606c429e\" " with result "range_response_count:1 size:485" took too long (177.547227ms) to execute
Nov 11 11:54:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:54:12.022350 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (276.399562ms) to execute
Nov 11 11:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:54:22.061734 W | etcdserver: request "header:<ID:14919139277666583883 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-tzkcz\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-tzkcz\" value_size:976 >> failure:<>>" with result "size:20" took too long (118.532281ms) to execute
Nov 11 11:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:54:22.062109 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d6198a606c429e\" " with result "range_response_count:1 size:485" took too long (121.49188ms) to execute
Nov 11 11:54:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 11:54:22.083709 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kqjll\" " with result "range_response_count:1 size:1121" took too long (126.098534ms) to execute
