-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 15:13:51 UTC. --
Nov 06 14:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:53:06.227314 I | mvcc: store.index: compact 36572472
Nov 06 14:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:53:06.233237 I | mvcc: finished scheduled compaction at 36572472 (took 4.209618ms)
Nov 06 14:53:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:53:59.683184 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7qcxr\" " with result "range_response_count:1 size:1121" took too long (130.246361ms) to execute
Nov 06 14:53:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:53:59.718466 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (162.426197ms) to execute
Nov 06 14:53:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:53:59.718643 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (108.865726ms) to execute
Nov 06 14:54:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:54:59.777668 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d49a8cd7a5dfd3\" " with result "range_response_count:1 size:485" took too long (144.079445ms) to execute
Nov 06 14:55:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:55:59.878013 W | etcdserver: request "header:<ID:14919139277661944699 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:36574355 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (117.785935ms) to execute
Nov 06 14:55:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:55:59.878197 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (131.790387ms) to execute
Nov 06 14:58:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:58:06.253441 I | mvcc: store.index: compact 36573901
Nov 06 14:58:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:58:06.262133 I | mvcc: finished scheduled compaction at 36573901 (took 7.21666ms)
Nov 06 14:58:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 14:58:06.661348 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (190.892244ms) to execute
