-- Logs begin at Thu 2019-10-31 22:09:41 UTC, end at Sun 2019-11-03 17:54:10 UTC. --
Nov 03 17:32:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:32:18.418543 I | mvcc: store.index: compact 35908905
Nov 03 17:32:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:32:18.426864 I | mvcc: finished scheduled compaction at 35908905 (took 6.782756ms)
Nov 03 17:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:33:28.089281 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bz8tb\" " with result "range_response_count:1 size:1742" took too long (1.767615593s) to execute
Nov 03 17:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:33:28.089580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.254137835s) to execute
Nov 03 17:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:33:28.089704 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (247.853423ms) to execute
Nov 03 17:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:33:28.089779 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (340.787066ms) to execute
Nov 03 17:33:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:33:28.089903 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.138027919s) to execute
Nov 03 17:34:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:34:31.575213 W | etcdserver: request "header:<ID:14919139277659381703 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ct5m8.15d3b783c555a37d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ct5m8.15d3b783c555a37d\" value_size:392 lease:5695767240804605392 >> failure:<>>" with result "size:20" took too long (109.385511ms) to execute
Nov 03 17:34:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:34:31.576089 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l7nxq\" " with result "range_response_count:1 size:1118" took too long (111.265318ms) to execute
Nov 03 17:34:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:34:31.578192 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (113.087849ms) to execute
Nov 03 17:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:31.257763 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (202.005684ms) to execute
Nov 03 17:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:31.790372 W | etcdserver: request "header:<ID:14919139277659383066 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-2xm9x\" mod_revision:35911310 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-2xm9x\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-2xm9x\" > >>" with result "size:20" took too long (120.720064ms) to execute
Nov 03 17:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:31.790900 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tgs5q\" " with result "range_response_count:1 size:1121" took too long (127.517176ms) to execute
Nov 03 17:36:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:56.114778 W | wal: sync duration of 1.086120939s, expected less than 1s
Nov 03 17:36:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:56.115172 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (946.85712ms) to execute
Nov 03 17:36:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 17:36:56.115498 W | etcdserver: failed to revoke 4f0b6e20c777259a ("lease not found")
