-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Fri 2019-12-20 22:50:36 UTC. --
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.227755 W | wal: sync duration of 1.586504851s, expected less than 1s
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.228058 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.498122123s) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.237877 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.287399908s) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.237948 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (1.342291008s) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.238125 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (709.404083ms) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.238213 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.347999072s) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.238427 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (799.03937ms) to execute
Dec 20 22:30:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:07.238715 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.292769941s) to execute
Dec 20 22:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:45.204812 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6gspg\" " with result "range_response_count:1 size:1121" took too long (142.661522ms) to execute
Dec 20 22:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:45.204975 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (148.803381ms) to execute
Dec 20 22:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:45.205276 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (147.718137ms) to execute
Dec 20 22:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:45.231569 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rwjl7\" " with result "range_response_count:1 size:1118" took too long (148.914518ms) to execute
Dec 20 22:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:45.231681 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sffzj\" " with result "range_response_count:1 size:1121" took too long (143.483089ms) to execute
Dec 20 22:30:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:46.363120 W | etcdserver: request "header:<ID:14919139277708889990 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-6gspg.15e234f251111a3e\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-6gspg.15e234f251111a3e\" value_size:445 lease:5695767240854114129 >> failure:<>>" with result "size:20" took too long (145.777989ms) to execute
Dec 20 22:30:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:30:49.735212 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (138.628222ms) to execute
Dec 20 22:31:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:19.605731 I | mvcc: store.index: compact 45394854
Dec 20 22:31:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:19.613586 I | mvcc: finished scheduled compaction at 45394854 (took 5.469818ms)
Dec 20 22:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:45.335686 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-65c9b\" " with result "range_response_count:1 size:1121" took too long (146.880777ms) to execute
Dec 20 22:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:45.336452 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v62mf\" " with result "range_response_count:1 size:1118" took too long (150.42961ms) to execute
Dec 20 22:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:45.336543 W | etcdserver: request "header:<ID:14919139277708890515 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" mod_revision:45396245 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" value_size:386 lease:5695767240854114675 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" > >>" with result "size:20" took too long (118.162052ms) to execute
Dec 20 22:31:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:31:45.336783 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-758bz\" " with result "range_response_count:1 size:1121" took too long (123.876783ms) to execute
Dec 20 22:32:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:32:58.425979 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (111.040285ms) to execute
Dec 20 22:33:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:33:45.557422 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (128.517458ms) to execute
Dec 20 22:36:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:36:19.622426 I | mvcc: store.index: compact 45396190
Dec 20 22:36:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:36:19.630626 I | mvcc: finished scheduled compaction at 45396190 (took 6.660701ms)
Dec 20 22:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:40:46.071073 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nc94v\" " with result "range_response_count:1 size:1121" took too long (161.530187ms) to execute
Dec 20 22:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:40:46.071266 W | etcdserver: request "header:<ID:14919139277708894838 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" mod_revision:45397354 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" value_size:386 lease:5695767240854118996 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e23502ad8b5bf5\" > >>" with result "size:20" took too long (121.505835ms) to execute
Dec 20 22:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:40:46.071454 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (145.618906ms) to execute
Dec 20 22:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:40:46.085873 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4dk6b\" " with result "range_response_count:1 size:1121" took too long (149.812268ms) to execute
Dec 20 22:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:41:19.633926 I | mvcc: store.index: compact 45396860
Dec 20 22:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:41:19.640160 I | mvcc: finished scheduled compaction at 45396860 (took 5.249536ms)
Dec 20 22:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:46:19.651454 I | mvcc: store.index: compact 45397471
Dec 20 22:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:46:19.657335 I | mvcc: finished scheduled compaction at 45397471 (took 4.738006ms)
Dec 20 22:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:46:31.503890 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (140.495384ms) to execute
Dec 20 22:46:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:46:31.504091 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7hstg\" " with result "range_response_count:1 size:1636" took too long (127.388754ms) to execute
Dec 20 22:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:47:46.615554 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7hz7q\" " with result "range_response_count:1 size:1121" took too long (151.77755ms) to execute
Dec 20 22:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:47:46.615799 W | etcdserver: request "header:<ID:14919139277708898190 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-7kcqh\" mod_revision:45398194 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-7kcqh\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-7kcqh\" > >>" with result "size:20" took too long (132.274622ms) to execute
Dec 20 22:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:47:46.630858 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (154.357856ms) to execute
Dec 20 22:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 22:47:46.657928 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (167.647253ms) to execute
